customer_ID,target,risk_score,data_kind
SYN001,1,0.98,synthetic_test_fixture
SYN002,0,0.93,synthetic_test_fixture
SYN003,1,0.90,synthetic_test_fixture
SYN004,0,0.86,synthetic_test_fixture
SYN005,0,0.77,synthetic_test_fixture
SYN006,1,0.71,synthetic_test_fixture
SYN007,0,0.66,synthetic_test_fixture
SYN008,0,0.58,synthetic_test_fixture
SYN009,1,0.53,synthetic_test_fixture
SYN010,0,0.47,synthetic_test_fixture
SYN011,0,0.42,synthetic_test_fixture
SYN012,0,0.37,synthetic_test_fixture
SYN013,1,0.32,synthetic_test_fixture
SYN014,0,0.28,synthetic_test_fixture
SYN015,0,0.24,synthetic_test_fixture
SYN016,0,0.19,synthetic_test_fixture
SYN017,1,0.14,synthetic_test_fixture
SYN018,0,0.10,synthetic_test_fixture
SYN019,0,0.06,synthetic_test_fixture
SYN020,0,0.02,synthetic_test_fixture

