category,method,robustness_type,outcome,spec,learner,coef,std_error,t_stat,p_value,n_obs,n_clusters,first_stage_t,notes
bottled_juices,FE-IV,FE-IV control ladder,own_sales,A_none,,-0.2131924178320467,0.1084377571986894,-1.966034924914727,0.0492945764565189,6113366,36386,24.98005144621092,A/B are main clean specs; C/D/E are sensitivity specs.
bottled_juices,FE-IV,FE-IV control ladder,own_sales,B_ccount_only,,-0.1891116957788212,0.1116332409680432,-1.6940446603441126,0.0902567968669525,5963789,36386,25.05354071794625,A/B are main clean specs; C/D/E are sensitivity specs.
bottled_juices,FE-IV,FE-IV control ladder,own_sales,C_plus_deal,,0.4101178374726243,0.1008631602206477,4.066081576022925,4.781020634103683e-05,5963789,36386,25.83880161879094,A/B are main clean specs; C/D/E are sensitivity specs.
bottled_juices,FE-IV,FE-IV control ladder,own_sales,D_plus_rival_cost,,0.4052180030200786,0.1007078314687787,4.023699022311922,5.729112581764895e-05,5963789,36386,25.824104987811918,A/B are main clean specs; C/D/E are sensitivity specs.
bottled_juices,FE-IV,FE-IV control ladder,own_sales,E_full_sensitivity,,-1.073584479143708,0.0436305176776107,-24.60627414683702,0.0,5963789,36386,24.434523768950083,A/B are main clean specs; C/D/E are sensitivity specs.
bottled_juices,FE-IV,Two-way clustering,own_sales,A_none,,-0.2131924178320467,0.185289277220658,-1.150592311816076,0.2498999973857463,6113366,36386,19.553737800325692,Two-way clustered by store_upc_id and week for own-sales A/B.
bottled_juices,FE-IV,Two-way clustering,own_sales,B_ccount_only,,-0.1891116957788212,0.1902170798268228,-0.9941888286319616,0.3201309457911701,5963789,36386,19.393684956500724,Two-way clustered by store_upc_id and week for own-sales A/B.
bottled_juices,FE-IV,Observed-price-only,own_sales,A_none,,-2.1053689762725947,0.0273407882008503,-77.00469206689205,0.0,4294969,36386,85.20679102639222,price_was_missing == 0 and cost_was_missing == 0
bottled_juices,FE-IV,Observed-price-only,own_sales,B_ccount_only,,-2.1037470483383305,0.0271070228859101,-77.60893024633215,0.0,4283866,36345,85.04264674967133,price_was_missing == 0 and cost_was_missing == 0
bottled_juices,FE-IV,Cluster downsampling,own_sales,B_ccount_only,,0.0238177977184532,0.5461416000634762,0.0436110300253359,0.9652144593752454,300438,1819,6.099505296634149,"5% store_upc_id clusters, seed 42"
bottled_juices,FE-IV,Cluster downsampling,own_sales,B_ccount_only,,-0.1937269697793184,0.3544557854956706,-0.5465476307811165,0.5846895560310954,590441,3639,8.407775077217003,"10% store_upc_id clusters, seed 42"
bottled_juices,FE-IV,Placebo checks,own_sales_future_cost_placebo,B_ccount_only_future_cost_lead4,,1.6203399071802438,0.1458772015036802,11.107560951800718,0.0,5477641,36135,25.516738651149677,log_cost_lead4 used as placebo instrument
bottled_juices,FE-IV,Placebo checks,own_sales_lag2_placebo,B_ccount_only_lagged_outcome_lag2,,0.8212814695672349,0.1019319602777263,8.057153686925583,8.881784197001252e-16,5707401,36272,24.567113062790288,y_own_log_sales_lag2 used as placebo outcome
bottled_juices,FD-PLIV-DML,FD-PLIV-DML own-sales,own_sales,S1_ccount_only,Ridge,-3.4147571369239635,0.021302909713781,-160.29533912519565,0.0,5833019,36275,90.8504099449278,GroupKFold by store_upc_id_code with fold-specific week residualization.
bottled_juices,FD-PLIV-DML,FD-PLIV-DML own-sales,own_sales,S1_ccount_only,LightGBM,-3.415544837916367,0.0212743319143286,-160.54768966051188,0.0,5833019,36275,90.8512333914086,GroupKFold by store_upc_id_code with fold-specific week residualization.
bottled_juices,FD-PLIV-DML,FD-PLIV-DML own-sales,own_sales,S2_plus_deal,Ridge,-2.916820390313992,0.0262846074596416,-110.97066580859476,0.0,5833019,36275,79.31353495804568,GroupKFold by store_upc_id_code with fold-specific week residualization.
bottled_juices,FD-PLIV-DML,FD-PLIV-DML own-sales,own_sales,S2_plus_deal,LightGBM,-2.755763879607242,0.0300848146728873,-91.59982900246214,0.0,5833019,36275,71.22232019433984,GroupKFold by store_upc_id_code with fold-specific week residualization.
