category,method,outcome_name,outcome_col,spec,controls_requested,controls_used,coef_log_price,std_error,t_stat,p_value,n_obs,n_store_upc_clusters,n_weeks,first_stage_coef,first_stage_se,first_stage_t,first_stage_t2,cluster_type,fixed_effects,source_file,learner,coef_log_price_fd,n_groups,n_splits,mean_y_rmse,mean_d_rmse,mean_z_rmse
cereal,FE-IV,own_sales,y_own_log_sales,A_none,none,none,-1.2215071637776458,0.0443420820257771,-27.547357002036,0.0,6451609,36438.0,366.0,0.4281005801818519,0.0066190173002728,64.6773623275172,4183.161197644941,one-way,store_upc_id + week,cereal_fe_iv_own_sales_control_ladder.csv,,,,,,,
cereal,FE-IV,own_sales,y_own_log_sales,B_ccount_only,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo,-1.1558553759580077,0.0436713670813035,-26.467121439228983,0.0,6319195,36438.0,365.0,0.425841521421236,0.0066531883015091,64.0056319050284,4096.7209155619885,one-way,store_upc_id + week,cereal_fe_iv_own_sales_control_ladder.csv,,,,,,,
cereal,FE-IV,own_sales,y_own_log_sales,C_plus_deal,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag,-0.1536872785894528,0.0413035597184444,-3.7209208997262855,0.0001984976105291,6319195,36438.0,365.0,0.37560626705276,0.0064485938352542,58.24622803801575,3392.623080656532,one-way,store_upc_id + week,cereal_fe_iv_own_sales_control_ladder.csv,,,,,,,
cereal,FE-IV,own_sales,y_own_log_sales,D_plus_rival_cost,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag + rival_log_cost_mean,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag + rival_log_cost_mean,-0.1554249115139391,0.0413351242104347,-3.760117200148708,0.0001698337719078,6319195,36438.0,365.0,0.3756606769504523,0.0064504515741825,58.2378880967038,3391.651609964194,one-way,store_upc_id + week,cereal_fe_iv_own_sales_control_ladder.csv,,,,,,,
cereal,FE-IV,own_sales,y_own_log_sales,E_full_sensitivity,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag + rival_log_cost_mean + rival_log_price_mean + rival_deal_rate + price_was_missing + cost_was_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag + rival_log_cost_mean + rival_log_price_mean + rival_deal_rate + price_was_missing,-1.3753004899294998,0.0289758069462877,-47.46375113828188,0.0,6319195,36438.0,365.0,0.36944437605163,0.0063905166997122,57.81134662683347,3342.151798807889,one-way,store_upc_id + week,cereal_fe_iv_own_sales_control_ladder.csv,,,,,,,
cereal,FE-IV,own_sales,y_own_log_sales,A_none,none,none,-1.2215071637776458,0.1310177477927709,-9.323219062731011,0.0,6451609,36438.0,366.0,0.4281005801818519,0.0318486554667666,13.441715950256222,180.67972768737252,two-way,store_upc_id + week,cereal_fe_iv_own_sales_control_ladder.csv,,,,,,,
cereal,FE-IV,own_sales,y_own_log_sales,B_ccount_only,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo,-1.1558553759580077,0.1333074447797528,-8.67059883915473,0.0,6319195,36438.0,365.0,0.425841521421236,0.0322676099198781,13.197182018706004,174.16561323485712,two-way,store_upc_id + week,cereal_fe_iv_own_sales_control_ladder.csv,,,,,,,
cereal,FE-IV,same_mfr_sales,y_same_mfr_log_sales,A_none,none,none,-0.1818705942144678,0.0433222808420083,-4.198084465537034,2.691822365741281e-05,6451609,36438.0,366.0,0.4281005801818519,0.0066190173002728,64.6773623275172,4183.161197644941,one-way,store_upc_id + week,cereal_fe_iv_decomposition_results.csv,,,,,,,
cereal,FE-IV,same_mfr_sales,y_same_mfr_log_sales,B_ccount_only,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo,0.0934158628206728,0.0363484935443607,2.5700064490063554,0.0101696621793072,6319195,36438.0,365.0,0.425841521421236,0.0066531883015091,64.0056319050284,4096.7209155619885,one-way,store_upc_id + week,cereal_fe_iv_decomposition_results.csv,,,,,,,
cereal,FE-IV,same_mfr_sales,y_same_mfr_log_sales,C_plus_deal,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag,0.3604114578030913,0.0439560757261175,8.199354738779466,2.220446049250313e-16,6319195,36438.0,365.0,0.37560626705276,0.0064485938352542,58.24622803801575,3392.623080656532,one-way,store_upc_id + week,cereal_fe_iv_decomposition_results.csv,,,,,,,
