category,method,robustness_type,outcome,spec,learner,coef,std_error,t_stat,p_value,n_obs,n_clusters,first_stage_t,notes
cereal,FE-IV,FE-IV control ladder,own_sales,A_none,,-1.2215071637776458,0.0443420820257771,-27.547357002036,0.0,6451609,36438,64.6773623275172,A/B are main clean specs; C/D/E are sensitivity specs.
cereal,FE-IV,FE-IV control ladder,own_sales,B_ccount_only,,-1.1558553759580077,0.0436713670813035,-26.467121439228983,0.0,6319195,36438,64.0056319050284,A/B are main clean specs; C/D/E are sensitivity specs.
cereal,FE-IV,FE-IV control ladder,own_sales,C_plus_deal,,-0.1536872785894528,0.0413035597184444,-3.7209208997262855,0.0001984976105291,6319195,36438,58.24622803801575,A/B are main clean specs; C/D/E are sensitivity specs.
cereal,FE-IV,FE-IV control ladder,own_sales,D_plus_rival_cost,,-0.1554249115139391,0.0413351242104347,-3.760117200148708,0.0001698337719078,6319195,36438,58.2378880967038,A/B are main clean specs; C/D/E are sensitivity specs.
cereal,FE-IV,FE-IV control ladder,own_sales,E_full_sensitivity,,-1.3753004899294998,0.0289758069462877,-47.46375113828188,0.0,6319195,36438,57.81134662683347,A/B are main clean specs; C/D/E are sensitivity specs.
cereal,FE-IV,Two-way clustering,own_sales,A_none,,-1.2215071637776458,0.1310177477927709,-9.323219062731011,0.0,6451609,36438,13.441715950256222,Two-way clustered by store_upc_id and week for own-sales A/B.
cereal,FE-IV,Two-way clustering,own_sales,B_ccount_only,,-1.1558553759580077,0.1333074447797528,-8.67059883915473,0.0,6319195,36438,13.197182018706004,Two-way clustered by store_upc_id and week for own-sales A/B.
cereal,FE-IV,Observed-price-only,own_sales,A_none,,-2.795291128621282,0.011531890890568,-242.39659871457383,0.0,4707771,36438,73.28526462829797,price_was_missing == 0 and cost_was_missing == 0
cereal,FE-IV,Observed-price-only,own_sales,B_ccount_only,,-2.7954802622089616,0.0111688637017099,-250.29227116281868,0.0,4691266,36390,72.90862303755675,price_was_missing == 0 and cost_was_missing == 0
cereal,FE-IV,Cluster downsampling,own_sales,B_ccount_only,,-1.103206271791944,0.2471057198222498,-4.464511273091985,8.025172351766585e-06,308966,1822,15.836368367026816,"5% store_upc_id clusters, seed 42"
cereal,FE-IV,Cluster downsampling,own_sales,B_ccount_only,,-1.1257817746170846,0.1465373441410516,-7.682558880918756,1.554312234475219e-14,629492,3644,16.82989367587749,"10% store_upc_id clusters, seed 42"
cereal,FE-IV,Placebo checks,own_sales_future_cost_placebo,B_ccount_only_future_cost_lead4,,1.8441424647472968,0.0864000660958958,21.34422516182423,0.0,5673560,36218,32.29254502935454,log_cost_lead4 used as placebo instrument
cereal,FE-IV,Placebo checks,own_sales_lag2_placebo,B_ccount_only_lagged_outcome_lag2,,0.7278867159182564,0.0301040216176995,24.179052392465,0.0,5978700,36218,62.101353533641735,y_own_log_sales_lag2 used as placebo outcome
cereal,FD-PLIV-DML,FD-PLIV-DML own-sales,own_sales,S1_ccount_only,Ridge,-3.443155721509103,0.0132544451733236,-259.7736590618605,0.0,6145641,36253,46.02397687645071,GroupKFold by store_upc_id_code with fold-specific week residualization.
cereal,FD-PLIV-DML,FD-PLIV-DML own-sales,own_sales,S1_ccount_only,LightGBM,-3.444474283272966,0.0132461231827313,-260.036407313759,0.0,6145641,36253,45.99932162096723,GroupKFold by store_upc_id_code with fold-specific week residualization.
cereal,FD-PLIV-DML,FD-PLIV-DML own-sales,own_sales,S2_plus_deal,Ridge,-2.8960112059710843,0.0189857483840125,-152.53605743610055,0.0,6145641,36253,45.79121899829484,GroupKFold by store_upc_id_code with fold-specific week residualization.
cereal,FD-PLIV-DML,FD-PLIV-DML own-sales,own_sales,S2_plus_deal,LightGBM,-2.8546786663760706,0.0241030126332488,-118.43659171626486,0.0,6145641,36253,44.391287556590704,GroupKFold by store_upc_id_code with fold-specific week residualization.
