category,method,robustness_type,outcome,spec,learner,coef,std_error,t_stat,p_value,n_obs,n_clusters,first_stage_t,notes
cookies,FE-IV,FE-IV control ladder,own_sales,A_none,,-1.4977885038740992,0.0603048909547921,-24.836932463685653,0.0,13150237,78134,29.617442323768717,A/B are main clean specs; C/D/E are sensitivity specs.
cookies,FE-IV,FE-IV control ladder,own_sales,B_ccount_only,,-1.7160314569425543,0.0634629026787399,-27.03991441471561,0.0,12858058,78131,30.191327071199648,A/B are main clean specs; C/D/E are sensitivity specs.
cookies,FE-IV,FE-IV control ladder,own_sales,C_plus_deal,,-0.5974565380878916,0.0474018309961558,-12.604081435933203,0.0,12858058,78131,26.172920038200445,A/B are main clean specs; C/D/E are sensitivity specs.
cookies,FE-IV,FE-IV control ladder,own_sales,D_plus_rival_cost,,-0.59611042165686,0.0473844572155508,-12.580294397911269,0.0,12858058,78131,26.176581955386613,A/B are main clean specs; C/D/E are sensitivity specs.
cookies,FE-IV,FE-IV control ladder,own_sales,E_full_sensitivity,,-1.0936178916304478,0.0465118206935311,-23.51268721206064,0.0,12858058,78131,25.81701561824968,A/B are main clean specs; C/D/E are sensitivity specs.
cookies,FE-IV,Two-way clustering,own_sales,A_none,,-1.4977885038740992,0.1399968735151905,-10.698728237752965,0.0,13150237,78134,9.699075145813495,Two-way clustered by store_upc_id and week for own-sales A/B.
cookies,FE-IV,Two-way clustering,own_sales,B_ccount_only,,-1.7160314569425543,0.1417893329713876,-12.102683756110483,0.0,12858058,78131,9.291221147058629,Two-way clustered by store_upc_id and week for own-sales A/B.
cookies,FE-IV,Observed-price-only,own_sales,A_none,,-2.772469242747008,0.0266951297003717,-103.85674367816983,0.0,7568429,78134,35.62930652709416,price_was_missing == 0 and cost_was_missing == 0
cookies,FE-IV,Observed-price-only,own_sales,B_ccount_only,,-2.776207554736218,0.026502272913223,-104.75356448959715,0.0,7545635,78060,35.57511971220865,price_was_missing == 0 and cost_was_missing == 0
cookies,FE-IV,Cluster downsampling,own_sales,B_ccount_only,,-2.162793669731222,0.1914689047890237,-11.29579590019782,0.0,643060,3907,8.286546480091395,"5% store_upc_id clusters, seed 42"
cookies,FE-IV,Cluster downsampling,own_sales,B_ccount_only,,-2.0190376584967766,0.1315520599629494,-15.347822444326768,0.0,1260306,7813,10.949038158163267,"10% store_upc_id clusters, seed 42"
cookies,FE-IV,Placebo checks,own_sales_future_cost_placebo,B_ccount_only_future_cost_lead4,,0.1595947287920539,0.0734940593925272,2.171532367530121,0.0298909531826878,11783509,77753,19.228295923390917,log_cost_lead4 used as placebo instrument
cookies,FE-IV,Placebo checks,own_sales_lag2_placebo,B_ccount_only_lagged_outcome_lag2,,-0.5710056703029283,0.0368429127426023,-15.498385654038175,0.0,12278470,77919,30.80664007340212,y_own_log_sales_lag2 used as placebo outcome
cookies,FD-PLIV-DML,FD-PLIV-DML own-sales,own_sales,S1_ccount_only,Ridge,-3.042692603714313,0.0240032418464296,-126.76173590139024,0.0,12562079,77986,62.18490714427181,GroupKFold by store_upc_id_code with fold-specific week residualization.
cookies,FD-PLIV-DML,FD-PLIV-DML own-sales,own_sales,S1_ccount_only,LightGBM,-3.0433094206979256,0.0240056936084227,-126.77448401783056,0.0,12562079,77986,62.18988261738335,GroupKFold by store_upc_id_code with fold-specific week residualization.
cookies,FD-PLIV-DML,FD-PLIV-DML own-sales,own_sales,S2_plus_deal,Ridge,-2.380768679077359,0.0318817527357893,-74.67496215804948,0.0,12562079,77986,58.55436612613709,GroupKFold by store_upc_id_code with fold-specific week residualization.
cookies,FD-PLIV-DML,FD-PLIV-DML own-sales,own_sales,S2_plus_deal,LightGBM,-2.1803644774466573,0.0330022134515354,-66.06721941995112,0.0,12562079,77986,57.604364870188505,GroupKFold by store_upc_id_code with fold-specific week residualization.
