category,method,dynamic_spec,max_lag,control_spec,coefficient_type,coef,std_error,t_stat,p_value,n_obs,n_store_upc_clusters,n_weeks,endogenous_vars,instruments,controls_requested,controls_used,fixed_effects,cluster,first_stage_diagnostics,first_stage_coef,first_stage_se,first_stage_t,first_stage_t2
cereal,dynamic_FE_IV_distributed_lag,DL0_current_only,0,A_none,log_price,-1.2215071637776456,0.0443420820257771,-27.547357002035984,0.0,6451609,36438,366,log_price,log_cost,none,none,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.2816800786,""partial.rsquared"":0.2816800786,""shea.rsquared"":0.2816800786,""f.stat"":4183.1611976449,""f.pval"":0.0,""f.dist"":""chi2(1)""}]",,,,
cereal,dynamic_FE_IV_distributed_lag,DL0_current_only,0,A_none,cumulative_sum,-1.2215071637776456,0.0443420820257771,-27.547357002035984,0.0,6451609,36438,366,log_price,log_cost,none,none,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.2816800786,""partial.rsquared"":0.2816800786,""shea.rsquared"":0.2816800786,""f.stat"":4183.1611976449,""f.pval"":0.0,""f.dist"":""chi2(1)""}]",,,,
cereal,dynamic_FE_IV_distributed_lag,DL0_current_only,0,B_ccount_only,log_price,-1.1391812902048477,0.0432038658915643,-26.36757768538657,0.0,6451609,36438,366,log_price,log_cost,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.2818926667,""partial.rsquared"":0.2814521747,""shea.rsquared"":0.2814521747,""f.stat"":4180.2754224132,""f.pval"":0.0,""f.dist"":""chi2(1)""}]",,,,
cereal,dynamic_FE_IV_distributed_lag,DL0_current_only,0,B_ccount_only,cumulative_sum,-1.1391812902048477,0.0432038658915643,-26.36757768538657,0.0,6451609,36438,366,log_price,log_cost,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.2818926667,""partial.rsquared"":0.2814521747,""shea.rsquared"":0.2814521747,""f.stat"":4180.2754224132,""f.pval"":0.0,""f.dist"":""chi2(1)""}]",,,,
cereal,dynamic_FE_IV_distributed_lag,DL0_current_only,0,C_plus_deal,log_price,-0.1529967555551197,0.0405497231516312,-3.773065354429301,0.0001612540253794,6451609,36438,366,log_price,log_cost,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.3476654363,""partial.rsquared"":0.2422251807,""shea.rsquared"":0.2422251807,""f.stat"":3455.7565887584,""f.pval"":0.0,""f.dist"":""chi2(1)""}]",,,,
cereal,dynamic_FE_IV_distributed_lag,DL0_current_only,0,C_plus_deal,cumulative_sum,-0.1529967555551197,0.0405497231516312,-3.773065354429301,0.0001612540253794,6451609,36438,366,log_price,log_cost,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.3476654363,""partial.rsquared"":0.2422251807,""shea.rsquared"":0.2422251807,""f.stat"":3455.7565887584,""f.pval"":0.0,""f.dist"":""chi2(1)""}]",,,,
cereal,dynamic_FE_IV_distributed_lag,DL1_current_lag1,1,A_none,log_price,-2.278640873309207,0.0248600297236509,-91.65881532077934,0.0,6275267,36438,361,log_price + log_price_lag1,log_cost + log_cost_lag1,none,none,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.2812886344,""partial.rsquared"":0.2812886344,""shea.rsquared"":0.2724634878,""f.stat"":4054.4208070821,""f.pval"":0.0,""f.dist"":""chi2(2)""},{""index"":""log_price_lag1"",""rsquared"":0.2852960357,""partial.rsquared"":0.2852960357,""shea.rsquared"":0.276345161,""f.stat"":4296.78418903,""f.pval"":0.0,""f.dist"":""chi2(2)""}]",,,,
cereal,dynamic_FE_IV_distributed_lag,DL1_current_lag1,1,A_none,log_price_lag1,1.647879889162887,0.0250032857791335,65.90653339402797,0.0,6275267,36438,361,log_price + log_price_lag1,log_cost + log_cost_lag1,none,none,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.2812886344,""partial.rsquared"":0.2812886344,""shea.rsquared"":0.2724634878,""f.stat"":4054.4208070821,""f.pval"":0.0,""f.dist"":""chi2(2)""},{""index"":""log_price_lag1"",""rsquared"":0.2852960357,""partial.rsquared"":0.2852960357,""shea.rsquared"":0.276345161,""f.stat"":4296.78418903,""f.pval"":0.0,""f.dist"":""chi2(2)""}]",,,,
cereal,dynamic_FE_IV_distributed_lag,DL1_current_lag1,1,A_none,cumulative_sum,-0.63076098414632,0.0477978679337284,-13.19642510040129,0.0,6275267,36438,361,log_price + log_price_lag1,log_cost + log_cost_lag1,none,none,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.2812886344,""partial.rsquared"":0.2812886344,""shea.rsquared"":0.2724634878,""f.stat"":4054.4208070821,""f.pval"":0.0,""f.dist"":""chi2(2)""},{""index"":""log_price_lag1"",""rsquared"":0.2852960357,""partial.rsquared"":0.2852960357,""shea.rsquared"":0.276345161,""f.stat"":4296.78418903,""f.pval"":0.0,""f.dist"":""chi2(2)""}]",,,,
cereal,dynamic_FE_IV_distributed_lag,DL1_current_lag1,1,B_ccount_only,log_price,-2.227468455434022,0.0241144124410487,-92.37083677155286,0.0,6275267,36438,361,log_price + log_price_lag1,log_cost + log_cost_lag1,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.2815136584,""partial.rsquared"":0.2810595038,""shea.rsquared"":0.2724097357,""f.stat"":4051.403239923,""f.pval"":0.0,""f.dist"":""chi2(2)""},{""index"":""log_price_lag1"",""rsquared"":0.2855176409,""partial.rsquared"":0.2850765992,""shea.rsquared"":0.2763032027,""f.stat"":4294.2486365326,""f.pval"":0.0,""f.dist"":""chi2(2)""}]",,,,
cereal,dynamic_FE_IV_distributed_lag,DL1_current_lag1,1,B_ccount_only,log_price_lag1,1.6982303917669974,0.0241358874333696,70.36121611252902,0.0,6275267,36438,361,log_price + log_price_lag1,log_cost + log_cost_lag1,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.2815136584,""partial.rsquared"":0.2810595038,""shea.rsquared"":0.2724097357,""f.stat"":4051.403239923,""f.pval"":0.0,""f.dist"":""chi2(2)""},{""index"":""log_price_lag1"",""rsquared"":0.2855176409,""partial.rsquared"":0.2850765992,""shea.rsquared"":0.2763032027,""f.stat"":4294.2486365326,""f.pval"":0.0,""f.dist"":""chi2(2)""}]",,,,
cereal,dynamic_FE_IV_distributed_lag,DL1_current_lag1,1,B_ccount_only,cumulative_sum,-0.5292380636670246,0.0461182369421228,-11.475678576594422,0.0,6275267,36438,361,log_price + log_price_lag1,log_cost + log_cost_lag1,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.2815136584,""partial.rsquared"":0.2810595038,""shea.rsquared"":0.2724097357,""f.stat"":4051.403239923,""f.pval"":0.0,""f.dist"":""chi2(2)""},{""index"":""log_price_lag1"",""rsquared"":0.2855176409,""partial.rsquared"":0.2850765992,""shea.rsquared"":0.2763032027,""f.stat"":4294.2486365326,""f.pval"":0.0,""f.dist"":""chi2(2)""}]",,,,
cereal,dynamic_FE_IV_distributed_lag,DL1_current_lag1,1,C_plus_deal,log_price,-1.1096517641059835,0.0282999520135275,-39.21037617221268,0.0,6275267,36438,361,log_price + log_price_lag1,log_cost + log_cost_lag1,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.347963579,""partial.rsquared"":0.2423259314,""shea.rsquared"":0.2321723049,""f.stat"":3501.5781711028,""f.pval"":0.0,""f.dist"":""chi2(2)""},{""index"":""log_price_lag1"",""rsquared"":0.288340476,""partial.rsquared"":0.2811523898,""shea.rsquared"":0.2693719075,""f.stat"":4235.6755712209,""f.pval"":0.0,""f.dist"":""chi2(2)""}]",,,,
cereal,dynamic_FE_IV_distributed_lag,DL1_current_lag1,1,C_plus_deal,log_price_lag1,1.325452857881905,0.0190690302765717,69.50814166519822,0.0,6275267,36438,361,log_price + log_price_lag1,log_cost + log_cost_lag1,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.347963579,""partial.rsquared"":0.2423259314,""shea.rsquared"":0.2321723049,""f.stat"":3501.5781711028,""f.pval"":0.0,""f.dist"":""chi2(2)""},{""index"":""log_price_lag1"",""rsquared"":0.288340476,""partial.rsquared"":0.2811523898,""shea.rsquared"":0.2693719075,""f.stat"":4235.6755712209,""f.pval"":0.0,""f.dist"":""chi2(2)""}]",,,,
cereal,dynamic_FE_IV_distributed_lag,DL1_current_lag1,1,C_plus_deal,cumulative_sum,0.2158010937759213,0.0430107434432188,5.017376508750975,5.238184983547001e-07,6275267,36438,361,log_price + log_price_lag1,log_cost + log_cost_lag1,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.347963579,""partial.rsquared"":0.2423259314,""shea.rsquared"":0.2321723049,""f.stat"":3501.5781711028,""f.pval"":0.0,""f.dist"":""chi2(2)""},{""index"":""log_price_lag1"",""rsquared"":0.288340476,""partial.rsquared"":0.2811523898,""shea.rsquared"":0.2693719075,""f.stat"":4235.6755712209,""f.pval"":0.0,""f.dist"":""chi2(2)""}]",,,,
