category,method,dynamic_spec,max_lag,control_spec,coefficient_type,coef,std_error,t_stat,p_value,n_obs,n_store_upc_clusters,n_weeks,endogenous_vars,instruments,controls_requested,controls_used,fixed_effects,cluster,first_stage_diagnostics
bottled_juices,dynamic_FE_IV_distributed_lag,DL0_current_only,0,A_none,log_price,-0.2131924178320468,0.10843775719868941,-1.9660349249147275,0.04929457645651891,6113366,36386,392,log_price,log_cost,none,none,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.0858071872,""partial.rsquared"":0.0858071872,""shea.rsquared"":0.0858071872,""f.stat"":624.0029702553,""f.pval"":0.0,""f.dist"":""chi2(1)""}]"
bottled_juices,dynamic_FE_IV_distributed_lag,DL0_current_only,0,A_none,cumulative_sum,-0.2131924178320468,0.10843775719868941,-1.9660349249147275,0.04929457645651891,6113366,36386,392,log_price,log_cost,none,none,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.0858071872,""partial.rsquared"":0.0858071872,""shea.rsquared"":0.0858071872,""f.stat"":624.0029702553,""f.pval"":0.0,""f.dist"":""chi2(1)""}]"
bottled_juices,dynamic_FE_IV_distributed_lag,DL0_current_only,0,B_ccount_only,log_price,-0.1855885092941816,0.11013029469220321,-1.6851721845734835,0.09195535595285698,6113366,36386,392,log_price,log_cost,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.0859006688,""partial.rsquared"":0.085834514,""shea.rsquared"":0.085834514,""f.stat"":624.2491818538,""f.pval"":0.0,""f.dist"":""chi2(1)""}]"
bottled_juices,dynamic_FE_IV_distributed_lag,DL0_current_only,0,B_ccount_only,cumulative_sum,-0.1855885092941816,0.11013029469220321,-1.6851721845734835,0.09195535595285698,6113366,36386,392,log_price,log_cost,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.0859006688,""partial.rsquared"":0.085834514,""shea.rsquared"":0.085834514,""f.stat"":624.2491818538,""f.pval"":0.0,""f.dist"":""chi2(1)""}]"
bottled_juices,dynamic_FE_IV_distributed_lag,DL0_current_only,0,C_plus_deal,log_price,0.3987062869345426,0.09940221938708421,4.011040089375996,6.0451843326037036e-05,6113366,36386,392,log_price,log_cost,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.1730134533,""partial.rsquared"":0.0830267312,""shea.rsquared"":0.0830267312,""f.stat"":663.6351988003,""f.pval"":0.0,""f.dist"":""chi2(1)""}]"
bottled_juices,dynamic_FE_IV_distributed_lag,DL0_current_only,0,C_plus_deal,cumulative_sum,0.3987062869345426,0.09940221938708421,4.011040089375996,6.0451843326037036e-05,6113366,36386,392,log_price,log_cost,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.1730134533,""partial.rsquared"":0.0830267312,""shea.rsquared"":0.0830267312,""f.stat"":663.6351988003,""f.pval"":0.0,""f.dist"":""chi2(1)""}]"
bottled_juices,dynamic_FE_IV_distributed_lag,DL1_current_lag1,1,A_none,log_price,-1.940478915172335,0.05038846666499924,-38.5103783386254,0.0,5981593,36386,388,log_price + log_price_lag1,log_cost + log_cost_lag1,none,none,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.0963029787,""partial.rsquared"":0.0963029787,""shea.rsquared"":0.1310204068,""f.stat"":10909.1533318739,""f.pval"":0.0,""f.dist"":""chi2(2)""},{""index"":""log_price_lag1"",""rsquared"":0.0897149455,""partial.rsquared"":0.0897149455,""shea.rsquared"":0.1220573737,""f.stat"":5741.1485186891,""f.pval"":0.0,""f.dist"":""chi2(2)""}]"
bottled_juices,dynamic_FE_IV_distributed_lag,DL1_current_lag1,1,A_none,log_price_lag1,2.0735615711913664,0.06881543725922486,30.132215296116584,0.0,5981593,36386,388,log_price + log_price_lag1,log_cost + log_cost_lag1,none,none,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.0963029787,""partial.rsquared"":0.0963029787,""shea.rsquared"":0.1310204068,""f.stat"":10909.1533318739,""f.pval"":0.0,""f.dist"":""chi2(2)""},{""index"":""log_price_lag1"",""rsquared"":0.0897149455,""partial.rsquared"":0.0897149455,""shea.rsquared"":0.1220573737,""f.stat"":5741.1485186891,""f.pval"":0.0,""f.dist"":""chi2(2)""}]"
bottled_juices,dynamic_FE_IV_distributed_lag,DL1_current_lag1,1,A_none,cumulative_sum,0.13308265601903146,0.11613563474622658,1.145924386686624,0.2518264398002654,5981593,36386,388,log_price + log_price_lag1,log_cost + log_cost_lag1,none,none,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.0963029787,""partial.rsquared"":0.0963029787,""shea.rsquared"":0.1310204068,""f.stat"":10909.1533318739,""f.pval"":0.0,""f.dist"":""chi2(2)""},{""index"":""log_price_lag1"",""rsquared"":0.0897149455,""partial.rsquared"":0.0897149455,""shea.rsquared"":0.1220573737,""f.stat"":5741.1485186891,""f.pval"":0.0,""f.dist"":""chi2(2)""}]"
bottled_juices,dynamic_FE_IV_distributed_lag,DL1_current_lag1,1,B_ccount_only,log_price,-1.928141423982502,0.051211312214273344,-37.65069357947639,0.0,5981593,36386,388,log_price + log_price_lag1,log_cost + log_cost_lag1,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.0963999418,""partial.rsquared"":0.0963311425,""shea.rsquared"":0.1310288629,""f.stat"":10909.8795994244,""f.pval"":0.0,""f.dist"":""chi2(2)""},{""index"":""log_price_lag1"",""rsquared"":0.0898107595,""partial.rsquared"":0.0897414641,""shea.rsquared"":0.1220656341,""f.stat"":5740.4929234844,""f.pval"":0.0,""f.dist"":""chi2(2)""}]"
