category,method,dynamic_spec,max_lag,control_spec,coefficient_type,coef,std_error,t_stat,p_value,n_obs,n_store_upc_clusters,n_weeks,endogenous_vars,instruments,controls_requested,controls_used,fixed_effects,cluster,first_stage_diagnostics
cereal,dynamic_FE_IV_distributed_lag,DL0_current_only,0,A_none,log_price,-1.2215071637776456,0.04434208202577713,-27.547357002035984,0.0,6451609,36438,366,log_price,log_cost,none,none,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.2816800786,""partial.rsquared"":0.2816800786,""shea.rsquared"":0.2816800786,""f.stat"":4183.1611976449,""f.pval"":0.0,""f.dist"":""chi2(1)""}]"
cereal,dynamic_FE_IV_distributed_lag,DL0_current_only,0,A_none,cumulative_sum,-1.2215071637776456,0.04434208202577713,-27.547357002035984,0.0,6451609,36438,366,log_price,log_cost,none,none,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.2816800786,""partial.rsquared"":0.2816800786,""shea.rsquared"":0.2816800786,""f.stat"":4183.1611976449,""f.pval"":0.0,""f.dist"":""chi2(1)""}]"
cereal,dynamic_FE_IV_distributed_lag,DL0_current_only,0,B_ccount_only,log_price,-1.1391812902048475,0.04320386589156439,-26.367577685386575,0.0,6451609,36438,366,log_price,log_cost,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.2818926667,""partial.rsquared"":0.2814521747,""shea.rsquared"":0.2814521747,""f.stat"":4180.2754224132,""f.pval"":0.0,""f.dist"":""chi2(1)""}]"
cereal,dynamic_FE_IV_distributed_lag,DL0_current_only,0,B_ccount_only,cumulative_sum,-1.1391812902048475,0.04320386589156439,-26.367577685386575,0.0,6451609,36438,366,log_price,log_cost,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.2818926667,""partial.rsquared"":0.2814521747,""shea.rsquared"":0.2814521747,""f.stat"":4180.2754224132,""f.pval"":0.0,""f.dist"":""chi2(1)""}]"
cereal,dynamic_FE_IV_distributed_lag,DL0_current_only,0,C_plus_deal,log_price,-0.1529967555551197,0.04054972315163129,-3.7730653544293005,0.00016125402537947586,6451609,36438,366,log_price,log_cost,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.3476654363,""partial.rsquared"":0.2422251807,""shea.rsquared"":0.2422251807,""f.stat"":3455.7565887584,""f.pval"":0.0,""f.dist"":""chi2(1)""}]"
cereal,dynamic_FE_IV_distributed_lag,DL0_current_only,0,C_plus_deal,cumulative_sum,-0.1529967555551197,0.04054972315163129,-3.7730653544293005,0.00016125402537947586,6451609,36438,366,log_price,log_cost,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.3476654363,""partial.rsquared"":0.2422251807,""shea.rsquared"":0.2422251807,""f.stat"":3455.7565887584,""f.pval"":0.0,""f.dist"":""chi2(1)""}]"
cereal,dynamic_FE_IV_distributed_lag,DL1_current_lag1,1,A_none,log_price,-2.278640873309207,0.024860029723650943,-91.65881532077934,0.0,6275267,36438,361,log_price + log_price_lag1,log_cost + log_cost_lag1,none,none,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.2812886344,""partial.rsquared"":0.2812886344,""shea.rsquared"":0.2724634878,""f.stat"":4054.4208070821,""f.pval"":0.0,""f.dist"":""chi2(2)""},{""index"":""log_price_lag1"",""rsquared"":0.2852960357,""partial.rsquared"":0.2852960357,""shea.rsquared"":0.276345161,""f.stat"":4296.78418903,""f.pval"":0.0,""f.dist"":""chi2(2)""}]"
cereal,dynamic_FE_IV_distributed_lag,DL1_current_lag1,1,A_none,log_price_lag1,1.647879889162887,0.025003285779133504,65.90653339402797,0.0,6275267,36438,361,log_price + log_price_lag1,log_cost + log_cost_lag1,none,none,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.2812886344,""partial.rsquared"":0.2812886344,""shea.rsquared"":0.2724634878,""f.stat"":4054.4208070821,""f.pval"":0.0,""f.dist"":""chi2(2)""},{""index"":""log_price_lag1"",""rsquared"":0.2852960357,""partial.rsquared"":0.2852960357,""shea.rsquared"":0.276345161,""f.stat"":4296.78418903,""f.pval"":0.0,""f.dist"":""chi2(2)""}]"
cereal,dynamic_FE_IV_distributed_lag,DL1_current_lag1,1,A_none,cumulative_sum,-0.63076098414632,0.04779786793372844,-13.19642510040129,0.0,6275267,36438,361,log_price + log_price_lag1,log_cost + log_cost_lag1,none,none,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.2812886344,""partial.rsquared"":0.2812886344,""shea.rsquared"":0.2724634878,""f.stat"":4054.4208070821,""f.pval"":0.0,""f.dist"":""chi2(2)""},{""index"":""log_price_lag1"",""rsquared"":0.2852960357,""partial.rsquared"":0.2852960357,""shea.rsquared"":0.276345161,""f.stat"":4296.78418903,""f.pval"":0.0,""f.dist"":""chi2(2)""}]"
cereal,dynamic_FE_IV_distributed_lag,DL1_current_lag1,1,B_ccount_only,log_price,-2.227468455434022,0.024114412441048796,-92.37083677155286,0.0,6275267,36438,361,log_price + log_price_lag1,log_cost + log_cost_lag1,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,store_upc_id + week,store_upc_id,"[{""index"":""log_price"",""rsquared"":0.2815136584,""partial.rsquared"":0.2810595038,""shea.rsquared"":0.2724097357,""f.stat"":4051.403239923,""f.pval"":0.0,""f.dist"":""chi2(2)""},{""index"":""log_price_lag1"",""rsquared"":0.2855176409,""partial.rsquared"":0.2850765992,""shea.rsquared"":0.2763032027,""f.stat"":4294.2486365326,""f.pval"":0.0,""f.dist"":""chi2(2)""}]"
