purchase_id,card_id,customer_id,product_id,purchase_date,purchase_month,amount,merchant_id,status,cancelled_at,processing_route,source_system
PUR_AL50_00001,CARD_AL50_0001,CUST_0001,JB_SMART_CASHBACK_CHECK,2026-05-18,2026-05,86000,M0022,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00002,CARD_AL50_0002,CUST_0002,JB_SMART_CASHBACK_CHECK,2026-05-18,2026-05,120000,M0050,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00003,CARD_AL50_0003,CUST_0003,JB_SMART_CASHBACK_CHECK,2026-05-18,2026-05,80000,M0061,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00004,CARD_AL50_0004,CUST_0004,JB_SMART_CASHBACK_CHECK,2026-05-18,2026-05,1000000,M0005,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00005,CARD_AL50_0005,CUST_0005,JB_SMART_CASHBACK_CHECK,2026-05-20,2026-05,5000000,M0090,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00006,CARD_AL50_0007,CUST_0019,JB_SMART_CASHBACK_CHECK,2026-05-20,2026-05,1200000,M0083,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00007,CARD_AL50_0009,CUST_0023,JB_SMART_CASHBACK_CHECK,2026-05-20,2026-05,150000,M0088,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00008,CARD_AL50_0006,CUST_0012,JB_SMART_CASHBACK_CHECK,2026-05-20,2026-05,1000000,M0009,CANCELLED,2026-05-21,LEGACY,router_aligned_50_fixture
PUR_AL50_00009,CARD_AL50_0042,CUST_0341,JB_SALARY_QUICK_CASHBACK,2026-05-21,2026-05,120000,M0057,COMPLETED,,STANDARD,router_aligned_50_fixture
PUR_AL50_00010,CARD_AL50_0023,CUST_0081,JB_SMART_CASHBACK_CHECK,2026-06-15,2026-06,100000,M0048,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00011,CARD_AL50_0008,CUST_0022,JB_SMART_CASHBACK_CHECK,2026-05-18,2026-05,120000,M0049,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00012,CARD_AL50_0009,CUST_0023,JB_SMART_CASHBACK_CHECK,2026-05-18,2026-05,520000,M0077,COMPLETED,,LEGACY,router_aligned_50_fixture
PUR_AL50_00013,CARD_AL50_0010,CUST_0024,JB_SMART_CASHBACK_CHECK,2026-05-18,2026-05,1100000,M0014,COMPLETED,,LEGACY,router_aligned_50_fixture
