reward_id,purchase_id,customer_id,card_id,product_id,purchase_month,expected_payment_date,reward_batch_id,purchase_amount,merchant_category,purchase_status,reward_rate,gross_reward_amount,expected_reward_amount,monthly_cap_amount,eligibility_reason,included_in_monthly_cap,processing_route,source_system,v3_anomaly_flag,v3_original_expected_reward_amount
REW_AL50_00001,PUR_AL50_00001,CUST_0001,CARD_AL50_0001,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,86000,RESTAURANT,COMPLETED,0.005,430,430,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,430
REW_AL50_00002,PUR_AL50_00002,CUST_0002,CARD_AL50_0002,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,120000,GROCERY,COMPLETED,0.007,840,840,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,840
REW_AL50_00003,PUR_AL50_00003,CUST_0003,CARD_AL50_0003,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,80000,CONVENIENCE,COMPLETED,0.005,400,400,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,400
REW_AL50_00004,PUR_AL50_00004,CUST_0004,CARD_AL50_0004,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,1000000,GENERAL,COMPLETED,0.012,12000,12000,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,12000
REW_AL50_00005,PUR_AL50_00005,CUST_0005,CARD_AL50_0005,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,5000000,TUITION,COMPLETED,0.0,0,0,100000,EXCLUDED_MERCHANT_CATEGORY,False,LEGACY,router_aligned_50_fixture,False,0
REW_AL50_00006,PUR_AL50_00006,CUST_0019,CARD_AL50_0007,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,1200000,TAX,COMPLETED,0.0,0,0,100000,EXCLUDED_MERCHANT_CATEGORY,False,LEGACY,router_aligned_50_fixture,False,0
REW_AL50_00007,PUR_AL50_00007,CUST_0023,CARD_AL50_0009,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,150000,PUBLIC_CHARGE,COMPLETED,0.0,0,0,100000,EXCLUDED_MERCHANT_CATEGORY,False,LEGACY,router_aligned_50_fixture,False,0
REW_AL50_00008,PUR_AL50_00008,CUST_0012,CARD_AL50_0006,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,1000000,GENERAL,CANCELLED,0.0,0,0,100000,CANCELLED_OR_REVERSED,False,LEGACY,router_aligned_50_fixture,False,0
REW_AL50_00009,PUR_AL50_00009,CUST_0341,CARD_AL50_0042,JB_SALARY_QUICK_CASHBACK,2026-05,2026-06-29,REWARD-20260629,120000,GROCERY,COMPLETED,0.0,0,0,100000,UNSUPPORTED_PRODUCT_FOR_H07,False,STANDARD,router_aligned_50_fixture,False,0
REW_AL50_00010,PUR_AL50_00010,CUST_0081,CARD_AL50_0023,JB_SMART_CASHBACK_CHECK,2026-06,2026-07-27,REWARD-20260727,100000,GROCERY,COMPLETED,0.007,700,700,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,700
REW_AL50_00011,PUR_AL50_00011,CUST_0022,CARD_AL50_0008,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,120000,GROCERY,COMPLETED,0.007,840,840,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,840
REW_AL50_00012,PUR_AL50_00012,CUST_0023,CARD_AL50_0009,JB_SMART_CASHBACK_CHECK,2026-05,2026-06-29,REWARD-20260629,520000,MEDICAL,COMPLETED,0.01,5200,5200,100000,ELIGIBLE,True,LEGACY,router_aligned_50_fixture,False,5200
