reward_batch_id,batch_date,purchase_month,product_id,processing_route,status,incident_id,error_message,source_system
REWARD-20260227,2026-02-27,2026-01,JB_SMART_CASHBACK_CHECK,LEGACY,COMPLETED,,,router_aligned_50_fixture
REWARD-20260327,2026-03-27,2026-02,JB_SMART_CASHBACK_CHECK,LEGACY,COMPLETED,,,router_aligned_50_fixture
REWARD-20260427,2026-04-27,2026-03,JB_SMART_CASHBACK_CHECK,LEGACY,COMPLETED,,,router_aligned_50_fixture
REWARD-20260527,2026-05-27,2026-04,JB_SMART_CASHBACK_CHECK,LEGACY,COMPLETED,,,router_aligned_50_fixture
REWARD-20260227,2026-02-27,2026-01,JB_FRIENDS_CARD,STANDARD,COMPLETED,,,router_aligned_50_fixture
REWARD-20260327,2026-03-27,2026-02,JB_FRIENDS_CARD,STANDARD,COMPLETED,,,router_aligned_50_fixture
REWARD-20260427,2026-04-27,2026-03,JB_FRIENDS_CARD,STANDARD,COMPLETED,,,router_aligned_50_fixture
REWARD-20260527,2026-05-27,2026-04,JB_FRIENDS_CARD,STANDARD,COMPLETED,,,router_aligned_50_fixture
REWARD-20260227,2026-02-27,2026-01,JB_SALARY_QUICK_CASHBACK,STANDARD,COMPLETED,,,router_aligned_50_fixture
REWARD-20260327,2026-03-27,2026-02,JB_SALARY_QUICK_CASHBACK,STANDARD,COMPLETED,,,router_aligned_50_fixture
REWARD-20260427,2026-04-27,2026-03,JB_SALARY_QUICK_CASHBACK,STANDARD,COMPLETED,,,router_aligned_50_fixture
REWARD-20260527,2026-05-27,2026-04,JB_SALARY_QUICK_CASHBACK,STANDARD,COMPLETED,,,router_aligned_50_fixture
REWARD-20260629,2026-06-29,2026-05,JB_SMART_CASHBACK_CHECK,LEGACY,FAILED_PARTIAL,INC-H07-20260629-LEGACY,Legacy Smart Cashback payout job skipped/under-calculated part of eligible May rewards.,router_aligned_50_fixture
REWARD-20260629,2026-06-29,2026-05,JB_FRIENDS_CARD,STANDARD,COMPLETED,,,router_aligned_50_fixture
REWARD-20260629,2026-06-29,2026-05,JB_SALARY_QUICK_CASHBACK,STANDARD,COMPLETED,,,router_aligned_50_fixture
REWARD-20260727,2026-07-27,2026-06,JB_SMART_CASHBACK_CHECK,LEGACY,SCHEDULED,,June rewards not due at complaint time.,router_aligned_50_fixture
