ledger_id,reward_id,purchase_id,customer_id,card_id,product_id,reward_batch_id,processing_route,expected_payment_date,paid_reward_amount,paid_at,payment_status,incident_id,source_system
LED_AL50_00001,REW_AL50_00001,PUR_AL50_00001,CUST_0001,CARD_AL50_0001,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00002,REW_AL50_00002,PUR_AL50_00002,CUST_0002,CARD_AL50_0002,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00003,REW_AL50_00003,PUR_AL50_00003,CUST_0003,CARD_AL50_0003,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00004,REW_AL50_00004,PUR_AL50_00004,CUST_0004,CARD_AL50_0004,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00005,REW_AL50_00005,PUR_AL50_00005,CUST_0005,CARD_AL50_0005,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,NOT_ELIGIBLE,,router_aligned_50_fixture
LED_AL50_00006,REW_AL50_00006,PUR_AL50_00006,CUST_0019,CARD_AL50_0007,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,NOT_ELIGIBLE,,router_aligned_50_fixture
LED_AL50_00007,REW_AL50_00007,PUR_AL50_00007,CUST_0023,CARD_AL50_0009,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,NOT_ELIGIBLE,,router_aligned_50_fixture
LED_AL50_00008,REW_AL50_00008,PUR_AL50_00008,CUST_0012,CARD_AL50_0006,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,NOT_ELIGIBLE,,router_aligned_50_fixture
LED_AL50_00009,REW_AL50_00009,PUR_AL50_00009,CUST_0341,CARD_AL50_0042,JB_SALARY_QUICK_CASHBACK,REWARD-20260629,STANDARD,2026-06-29,0,,NOT_ELIGIBLE,,router_aligned_50_fixture
LED_AL50_00010,REW_AL50_00010,PUR_AL50_00010,CUST_0081,CARD_AL50_0023,JB_SMART_CASHBACK_CHECK,REWARD-20260727,LEGACY,2026-07-27,0,,PENDING,,router_aligned_50_fixture
LED_AL50_00011,REW_AL50_00011,PUR_AL50_00011,CUST_0022,CARD_AL50_0008,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00012,REW_AL50_00012,PUR_AL50_00012,CUST_0023,CARD_AL50_0009,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00013,REW_AL50_00013,PUR_AL50_00013,CUST_0024,CARD_AL50_0010,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00014,REW_AL50_00014,PUR_AL50_00014,CUST_0025,CARD_AL50_0011,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00015,REW_AL50_00015,PUR_AL50_00015,CUST_0026,CARD_AL50_0012,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00016,REW_AL50_00016,PUR_AL50_00016,CUST_0027,CARD_AL50_0013,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00017,REW_AL50_00017,PUR_AL50_00017,CUST_0028,CARD_AL50_0014,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00018,REW_AL50_00018,PUR_AL50_00018,CUST_0029,CARD_AL50_0015,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00019,REW_AL50_00019,PUR_AL50_00019,CUST_0030,CARD_AL50_0016,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00020,REW_AL50_00020,PUR_AL50_00020,CUST_0031,CARD_AL50_0017,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00021,REW_AL50_00021,PUR_AL50_00021,CUST_0061,CARD_AL50_0018,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00022,REW_AL50_00022,PUR_AL50_00022,CUST_0062,CARD_AL50_0019,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00023,REW_AL50_00023,PUR_AL50_00023,CUST_0063,CARD_AL50_0020,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00024,REW_AL50_00024,PUR_AL50_00024,CUST_0064,CARD_AL50_0021,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00025,REW_AL50_00025,PUR_AL50_00025,CUST_0065,CARD_AL50_0022,JB_SMART_CASHBACK_CHECK,REWARD-20260629,LEGACY,2026-06-29,0,,FAILED,INC-H07-20260629-LEGACY,router_aligned_50_fixture
LED_AL50_00026,REW_AL50_00026,PUR_AL50_00026,CUST_0231,CARD_AL50_0036,JB_FRIENDS_CARD,REWARD-20260629,STANDARD,2026-06-29,0,,NOT_ELIGIBLE,,router_aligned_50_fixture
