users,gross_incremental_revenue,contribution_margin_assumption,promo_cost_per_user_assumption,illustrative_net_contribution
100000,133756.68563128222,0.2,0.0,26751.337126256447
100000,133756.68563128222,0.2,0.1,16751.337126256447
100000,133756.68563128222,0.2,0.5,-23248.662873743553
100000,133756.68563128222,0.2,1.0,-73248.66287374355
100000,133756.68563128222,0.4,0.0,53502.674252512894
100000,133756.68563128222,0.4,0.1,43502.674252512894
100000,133756.68563128222,0.4,0.5,3502.674252512894
100000,133756.68563128222,0.4,1.0,-46497.325747487106
100000,133756.68563128222,0.6,0.0,80254.01137876933
100000,133756.68563128222,0.6,0.1,70254.01137876933
100000,133756.68563128222,0.6,0.5,30254.011378769326
100000,133756.68563128222,0.6,1.0,-19745.988621230674
