cohort_month,day,cohort_size,retention_rate
2010-05,D1,102,0.0
2010-05,D7,102,0.049019607843137254
2010-05,D14,102,0.029411764705882353
2010-05,D30,102,0.029411764705882353
2010-06,D1,103,0.0
2010-06,D7,103,0.02912621359223301
2010-06,D14,103,0.06796116504854369
2010-06,D30,103,0.019417475728155338
2010-07,D1,112,0.008928571428571428
2010-07,D7,112,0.0625
2010-07,D14,112,0.03571428571428571
2010-07,D30,112,0.026785714285714284
2010-08,D1,118,0.00847457627118644
2010-08,D7,118,0.025423728813559324
2010-08,D14,118,0.0423728813559322
2010-08,D30,118,0.03389830508474576
2010-09,D1,120,0.016666666666666666
2010-09,D7,120,0.025
2010-09,D14,120,0.041666666666666664
2010-09,D30,120,0.03333333333333333
2010-10,D1,130,0.03076923076923077
2010-10,D7,130,0.05384615384615385
2010-10,D14,130,0.05384615384615385
2010-10,D30,130,0.03076923076923077
2010-11,D1,132,0.015151515151515152
2010-11,D7,132,0.022727272727272728
2010-11,D14,132,0.030303030303030304
2010-11,D30,132,0.03787878787878788
2010-12,D1,144,0.020833333333333332
2010-12,D7,144,0.10416666666666667
2010-12,D14,144,0.10416666666666667
2010-12,D30,144,0.027777777777777776
2011-01,D1,152,0.019736842105263157
2011-01,D7,152,0.08552631578947369
2011-01,D14,152,0.02631578947368421
2011-01,D30,152,0.046052631578947366
2011-02,D1,144,0.013888888888888888
2011-02,D7,144,0.0763888888888889
2011-02,D14,144,0.0763888888888889
2011-02,D30,144,0.027777777777777776
2011-03,D1,167,0.029940119760479042
2011-03,D7,167,0.05389221556886228
2011-03,D14,167,0.041916167664670656
2011-03,D30,167,0.023952095808383235
2011-04,D1,170,0.01764705882352941
2011-04,D7,170,0.07058823529411765
2011-04,D14,170,0.052941176470588235
2011-04,D30,170,0.01764705882352941
2011-05,D1,185,0.03783783783783784
2011-05,D7,185,0.08108108108108109
2011-05,D14,185,0.043243243243243246
2011-05,D30,185,0.021621621621621623
2011-06,D1,187,0.03208556149732621
2011-06,D7,187,0.0427807486631016
2011-06,D14,187,0.058823529411764705
2011-06,D30,187,0.0213903743315508
2011-07,D1,205,0.01951219512195122
2011-07,D7,205,0.04878048780487805
2011-07,D14,205,0.05853658536585366
2011-07,D30,205,0.03414634146341464
2011-08,D1,214,0.0
2011-08,D7,214,0.04672897196261682
2011-08,D14,214,0.0514018691588785
2011-08,D30,214,0.009345794392523364
2011-09,D1,219,0.0228310502283105
2011-09,D7,219,0.0228310502283105
2011-09,D14,219,0.045662100456621
2011-09,D30,219,0.0045662100456621
2011-10,D1,238,0.012605042016806723
2011-10,D7,238,0.07983193277310924
2011-10,D14,238,0.06302521008403361
2011-10,D30,238,0.03361344537815126
2011-11,D1,241,0.012448132780082987
2011-11,D7,241,0.03319502074688797
2011-11,D14,241,0.04149377593360996
2011-11,D30,241,0.016597510373443983
2011-12,D1,263,0.030418250950570342
2011-12,D7,263,0.04182509505703422
2011-12,D14,263,0.015209125475285171
2011-12,D30,263,0.034220532319391636
2012-01,D1,276,0.010869565217391304
2012-01,D7,276,0.057971014492753624
2012-01,D14,276,0.050724637681159424
2012-01,D30,276,0.025362318840579712
2012-02,D1,272,0.014705882352941176
2012-02,D7,272,0.04044117647058824
2012-02,D14,272,0.04044117647058824
2012-02,D30,272,0.025735294117647058
2012-03,D1,305,0.02622950819672131
2012-03,D7,305,0.06885245901639345
2012-03,D14,305,0.06885245901639345
2012-03,D30,305,0.02622950819672131
2012-04,D1,310,0.00967741935483871
2012-04,D7,310,0.07419354838709677
2012-04,D14,310,0.054838709677419356
2012-04,D30,310,0.01935483870967742
2012-05,D1,337,0.017804154302670624
2012-05,D7,337,0.05637982195845697
2012-05,D14,337,0.04154302670623145
2012-05,D30,337,0.02967359050445104
2012-06,D1,343,0.008746355685131196
2012-06,D7,343,0.052478134110787174
2012-06,D14,343,0.026239067055393587
2012-06,D30,343,0.02040816326530612
2012-07,D1,373,0.02680965147453083
2012-07,D7,373,0.058981233243967826
2012-07,D14,373,0.04825737265415549
2012-07,D30,373,0.03485254691689008
2012-08,D1,392,0.017857142857142856
2012-08,D7,392,0.06887755102040816
2012-08,D14,392,0.0663265306122449
2012-08,D30,392,0.04081632653061224
2012-09,D1,399,0.007518796992481203
