activation_event_id,store_id,terminal_id,activation_type,activation_status,tid_observed,observed_at,recorded_at,available_at
ACT-SYN-001-NEW,STR-SYN-001,TERM-SYN-001-NEW,terminal_open,succeeded,TID-101001,2026-06-20T15:00:00+09:00,2026-06-20T15:00:01+09:00,2026-06-20T15:00:02+09:00
ACT-SYN-002-NEW,STR-SYN-002,TERM-SYN-002-NEW,terminal_open,succeeded,TID-101002,2026-06-21T15:00:00+09:00,2026-06-21T15:00:01+09:00,2026-06-21T15:00:02+09:00
ACT-SYN-003-NEW,STR-SYN-003,TERM-SYN-003-NEW,terminal_open,succeeded,TID-101003,2026-06-22T15:00:00+09:00,2026-06-22T15:00:01+09:00,2026-06-22T15:00:02+09:00
ACT-SYN-004-NEW,STR-SYN-004,TERM-SYN-004-NEW,terminal_open,succeeded,TID-101004,2026-06-23T15:00:00+09:00,2026-06-23T15:00:01+09:00,2026-06-23T15:00:02+09:00
ACT-SYN-005-NEW,STR-SYN-005,TERM-SYN-005-NEW,terminal_open,succeeded,TID-101005,2026-06-24T15:00:00+09:00,2026-06-24T15:00:01+09:00,2026-06-24T15:00:02+09:00
ACT-SYN-006-NEW,STR-SYN-006,TERM-SYN-006-NEW,terminal_open,succeeded,TID-101006,2026-06-25T15:00:00+09:00,2026-06-25T15:00:01+09:00,2026-06-25T15:00:02+09:00
ACT-SYN-007-NEW,STR-SYN-007,TERM-SYN-007-NEW,terminal_open,succeeded,TID-101007,2026-06-26T15:00:00+09:00,2026-06-26T15:00:01+09:00,2026-06-26T15:00:02+09:00
ACT-SYN-008-NEW,STR-SYN-008,TERM-SYN-008-NEW,terminal_open,succeeded,TID-101008,2026-06-27T15:00:00+09:00,2026-06-27T15:00:01+09:00,2026-06-27T15:00:02+09:00
ACT-SYN-009-NEW,STR-SYN-009,TERM-SYN-009-NEW,terminal_open,succeeded,TID-101009,2026-06-28T15:00:00+09:00,2026-06-28T15:00:01+09:00,2026-06-28T15:00:02+09:00
ACT-SYN-010-NEW,STR-SYN-010,TERM-SYN-010-NEW,terminal_open,succeeded,TID-101010,2026-06-29T15:00:00+09:00,2026-06-29T15:00:01+09:00,2026-06-29T15:00:02+09:00
ACT-SYN-039-NEW,STR-SYN-039,TERM-SYN-039-NEW,terminal_open,succeeded,TID-106001,2026-06-20T20:00:00+09:00,2026-06-20T20:00:01+09:00,2026-06-20T20:00:02+09:00
ACT-SYN-040-NEW,STR-SYN-040,TERM-SYN-040-NEW,terminal_open,succeeded,TID-106002,2026-06-21T20:00:00+09:00,2026-06-21T20:00:01+09:00,2026-06-21T20:00:02+09:00
ACT-SYN-041-NEW,STR-SYN-041,TERM-SYN-041-NEW,terminal_open,succeeded,TID-106003,2026-06-22T20:00:00+09:00,2026-06-22T20:00:01+09:00,2026-06-22T20:00:02+09:00
ACT-SYN-042-NEW,STR-SYN-042,TERM-SYN-042-NEW,terminal_open,succeeded,TID-106004,2026-06-23T20:00:00+09:00,2026-06-23T20:00:01+09:00,2026-06-23T20:00:02+09:00
ACT-SYN-043-NEW,STR-SYN-043,TERM-SYN-043-NEW,terminal_open,succeeded,TID-106001,2026-06-20T21:00:00+09:00,2026-06-20T21:00:01+09:00,2026-06-20T21:00:02+09:00
ACT-SYN-044-NEW,STR-SYN-044,TERM-SYN-044-NEW,terminal_open,succeeded,TID-106002,2026-06-21T21:00:00+09:00,2026-06-21T21:00:01+09:00,2026-06-21T21:00:02+09:00
ACT-SYN-045-NEW,STR-SYN-045,TERM-SYN-045-NEW,terminal_open,succeeded,TID-106003,2026-06-22T21:00:00+09:00,2026-06-22T21:00:01+09:00,2026-06-22T21:00:02+09:00
ACT-SYN-046-NEW,STR-SYN-046,TERM-SYN-046-NEW,terminal_open,succeeded,TID-700001,2026-06-20T22:00:00+09:00,2026-06-20T22:00:01+09:00,2026-06-20T22:00:02+09:00
ACT-SYN-047-NEW,STR-SYN-047,TERM-SYN-047-NEW,terminal_open,succeeded,TID-700002,2026-06-21T22:00:00+09:00,2026-06-21T22:00:01+09:00,2026-06-21T22:00:02+09:00
ACT-SYN-048-NEW,STR-SYN-048,TERM-SYN-048-NEW,terminal_open,succeeded,TID-700003,2026-06-22T22:00:00+09:00,2026-06-22T22:00:01+09:00,2026-06-22T22:00:02+09:00
ACT-SYN-049-NEW,STR-SYN-049,TERM-SYN-049-NEW,terminal_open,succeeded,TID-700004,2026-06-23T22:00:00+09:00,2026-06-23T22:00:01+09:00,2026-06-23T22:00:02+09:00
ACT-SYN-050-NEW,STR-SYN-050,TERM-SYN-050-NEW,terminal_open,succeeded,TID-700005,2026-06-24T22:00:00+09:00,2026-06-24T22:00:01+09:00,2026-06-24T22:00:02+09:00
