approval_event_id,store_id,terminal_id,event_result,payment_channel,response_code,response_message,observed_at,recorded_at,available_at
APR-SYN-001-001,STR-SYN-001,TERM-SYN-001-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-20T15:20:00+09:00,2026-06-20T15:20:01+09:00,2026-06-20T15:20:02+09:00
APR-SYN-001-002,STR-SYN-001,TERM-SYN-001-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-20T15:25:00+09:00,2026-06-20T15:25:01+09:00,2026-06-20T15:25:02+09:00
APR-SYN-002-001,STR-SYN-002,TERM-SYN-002-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-21T15:20:00+09:00,2026-06-21T15:20:01+09:00,2026-06-21T15:20:02+09:00
APR-SYN-002-002,STR-SYN-002,TERM-SYN-002-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-21T15:25:00+09:00,2026-06-21T15:25:01+09:00,2026-06-21T15:25:02+09:00
APR-SYN-003-001,STR-SYN-003,TERM-SYN-003-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-22T15:20:00+09:00,2026-06-22T15:20:01+09:00,2026-06-22T15:20:02+09:00
APR-SYN-003-002,STR-SYN-003,TERM-SYN-003-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-22T15:25:00+09:00,2026-06-22T15:25:01+09:00,2026-06-22T15:25:02+09:00
APR-SYN-004-001,STR-SYN-004,TERM-SYN-004-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-23T15:20:00+09:00,2026-06-23T15:20:01+09:00,2026-06-23T15:20:02+09:00
APR-SYN-004-002,STR-SYN-004,TERM-SYN-004-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-23T15:25:00+09:00,2026-06-23T15:25:01+09:00,2026-06-23T15:25:02+09:00
APR-SYN-005-001,STR-SYN-005,TERM-SYN-005-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-24T15:20:00+09:00,2026-06-24T15:20:01+09:00,2026-06-24T15:20:02+09:00
APR-SYN-005-002,STR-SYN-005,TERM-SYN-005-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-24T15:25:00+09:00,2026-06-24T15:25:01+09:00,2026-06-24T15:25:02+09:00
APR-SYN-006-001,STR-SYN-006,TERM-SYN-006-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-25T15:20:00+09:00,2026-06-25T15:20:01+09:00,2026-06-25T15:20:02+09:00
APR-SYN-006-002,STR-SYN-006,TERM-SYN-006-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-25T15:25:00+09:00,2026-06-25T15:25:01+09:00,2026-06-25T15:25:02+09:00
APR-SYN-007-001,STR-SYN-007,TERM-SYN-007-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-26T15:20:00+09:00,2026-06-26T15:20:01+09:00,2026-06-26T15:20:02+09:00
APR-SYN-007-002,STR-SYN-007,TERM-SYN-007-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-26T15:25:00+09:00,2026-06-26T15:25:01+09:00,2026-06-26T15:25:02+09:00
APR-SYN-008-001,STR-SYN-008,TERM-SYN-008-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-27T15:20:00+09:00,2026-06-27T15:20:01+09:00,2026-06-27T15:20:02+09:00
APR-SYN-008-002,STR-SYN-008,TERM-SYN-008-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-27T15:25:00+09:00,2026-06-27T15:25:01+09:00,2026-06-27T15:25:02+09:00
APR-SYN-009-001,STR-SYN-009,TERM-SYN-009-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-28T15:20:00+09:00,2026-06-28T15:20:01+09:00,2026-06-28T15:20:02+09:00
APR-SYN-009-002,STR-SYN-009,TERM-SYN-009-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-28T15:25:00+09:00,2026-06-28T15:25:01+09:00,2026-06-28T15:25:02+09:00
APR-SYN-010-001,STR-SYN-010,TERM-SYN-010-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-29T15:20:00+09:00,2026-06-29T15:20:01+09:00,2026-06-29T15:20:02+09:00
APR-SYN-010-002,STR-SYN-010,TERM-SYN-010-OLD,transport_error,card_terminal,SYN-GENERIC-01,신용승인 처리 실패,2026-06-29T15:25:00+09:00,2026-06-29T15:25:01+09:00,2026-06-29T15:25:02+09:00
