scenario_id,store_id
SYN-001,STR-SYN-001
SYN-002,STR-SYN-002
SYN-003,STR-SYN-003
SYN-004,STR-SYN-004
SYN-005,STR-SYN-005
SYN-006,STR-SYN-006
SYN-007,STR-SYN-007
SYN-008,STR-SYN-008
SYN-009,STR-SYN-009
SYN-010,STR-SYN-010
SYN-011,STR-SYN-011
SYN-012,STR-SYN-012
SYN-013,STR-SYN-013
SYN-014,STR-SYN-014
SYN-015,STR-SYN-015
SYN-016,STR-SYN-016
SYN-017,STR-SYN-017
SYN-018,STR-SYN-018
SYN-019,STR-SYN-019
SYN-020,STR-SYN-020
SYN-021,STR-SYN-021
SYN-022,STR-SYN-022
SYN-023,STR-SYN-023
SYN-024,STR-SYN-024
SYN-025,STR-SYN-025
SYN-026,STR-SYN-026
SYN-027,STR-SYN-027
SYN-028,STR-SYN-028
SYN-029,STR-SYN-029
SYN-030,STR-SYN-030
SYN-031,STR-SYN-031
SYN-032,STR-SYN-032
SYN-033,STR-SYN-033
SYN-034,STR-SYN-034
SYN-035,STR-SYN-035
SYN-036,STR-SYN-036
SYN-037,STR-SYN-037
SYN-038,STR-SYN-038
SYN-039,STR-SYN-039
SYN-040,STR-SYN-040
SYN-041,STR-SYN-041
SYN-042,STR-SYN-042
SYN-043,STR-SYN-043
SYN-044,STR-SYN-044
SYN-045,STR-SYN-045
SYN-046,STR-SYN-046
SYN-047,STR-SYN-047
SYN-048,STR-SYN-048
SYN-049,STR-SYN-049
SYN-050,STR-SYN-050
