store_id,store_name,timezone,operating_status
STR-SYN-001,합성 매장 SYN-001,Asia/Seoul,active
STR-SYN-002,합성 매장 SYN-002,Asia/Seoul,active
STR-SYN-003,합성 매장 SYN-003,Asia/Seoul,active
STR-SYN-004,합성 매장 SYN-004,Asia/Seoul,active
STR-SYN-005,합성 매장 SYN-005,Asia/Seoul,active
STR-SYN-006,합성 매장 SYN-006,Asia/Seoul,active
STR-SYN-007,합성 매장 SYN-007,Asia/Seoul,active
STR-SYN-008,합성 매장 SYN-008,Asia/Seoul,active
STR-SYN-009,합성 매장 SYN-009,Asia/Seoul,active
STR-SYN-010,합성 매장 SYN-010,Asia/Seoul,active
STR-SYN-011,합성 매장 SYN-011,Asia/Seoul,active
STR-SYN-012,합성 매장 SYN-012,Asia/Seoul,active
STR-SYN-013,합성 매장 SYN-013,Asia/Seoul,active
STR-SYN-014,합성 매장 SYN-014,Asia/Seoul,active
STR-SYN-015,합성 매장 SYN-015,Asia/Seoul,active
STR-SYN-016,합성 매장 SYN-016,Asia/Seoul,active
STR-SYN-017,합성 매장 SYN-017,Asia/Seoul,active
STR-SYN-018,합성 매장 SYN-018,Asia/Seoul,active
STR-SYN-019,합성 매장 SYN-019,Asia/Seoul,active
STR-SYN-020,합성 매장 SYN-020,Asia/Seoul,active
STR-SYN-021,합성 매장 SYN-021,Asia/Seoul,active
STR-SYN-022,합성 매장 SYN-022,Asia/Seoul,active
STR-SYN-023,합성 매장 SYN-023,Asia/Seoul,active
STR-SYN-024,합성 매장 SYN-024,Asia/Seoul,active
STR-SYN-025,합성 매장 SYN-025,Asia/Seoul,active
STR-SYN-026,합성 매장 SYN-026,Asia/Seoul,active
STR-SYN-027,합성 매장 SYN-027,Asia/Seoul,active
STR-SYN-028,합성 매장 SYN-028,Asia/Seoul,active
STR-SYN-029,합성 매장 SYN-029,Asia/Seoul,active
STR-SYN-030,합성 매장 SYN-030,Asia/Seoul,active
STR-SYN-031,합성 매장 SYN-031,Asia/Seoul,active
STR-SYN-032,합성 매장 SYN-032,Asia/Seoul,active
STR-SYN-033,합성 매장 SYN-033,Asia/Seoul,active
STR-SYN-034,합성 매장 SYN-034,Asia/Seoul,active
STR-SYN-035,합성 매장 SYN-035,Asia/Seoul,active
STR-SYN-036,합성 매장 SYN-036,Asia/Seoul,active
STR-SYN-037,합성 매장 SYN-037,Asia/Seoul,active
STR-SYN-038,합성 매장 SYN-038,Asia/Seoul,active
STR-SYN-039,합성 매장 SYN-039,Asia/Seoul,active
STR-SYN-040,합성 매장 SYN-040,Asia/Seoul,active
STR-SYN-041,합성 매장 SYN-041,Asia/Seoul,active
STR-SYN-042,합성 매장 SYN-042,Asia/Seoul,active
STR-SYN-043,합성 매장 SYN-043,Asia/Seoul,active
STR-SYN-044,합성 매장 SYN-044,Asia/Seoul,active
STR-SYN-045,합성 매장 SYN-045,Asia/Seoul,active
STR-SYN-046,합성 매장 SYN-046,Asia/Seoul,active
STR-SYN-047,합성 매장 SYN-047,Asia/Seoul,active
STR-SYN-048,합성 매장 SYN-048,Asia/Seoul,active
STR-SYN-049,합성 매장 SYN-049,Asia/Seoul,active
STR-SYN-050,합성 매장 SYN-050,Asia/Seoul,active
