identity_record_id,store_id,terminal_id,registered_device_number,registered_serial,valid_from,valid_to,record_status,observed_at,recorded_at,available_at
IDENT-TERM-SYN-001-OLD,STR-SYN-001,TERM-SYN-001-OLD,DEV-TERM-SYN-001-OLD,SER-TERM-SYN-001-OLD,2026-05-31T09:00:00+09:00,,active,2026-05-31T09:30:00+09:00,2026-05-31T09:30:01+09:00,2026-05-31T09:30:02+09:00
IDENT-TERM-SYN-001-NEW,STR-SYN-001,TERM-SYN-001-NEW,DEV-TERM-SYN-001-NEW,SER-TERM-SYN-001-NEW,2026-06-20T14:00:00+09:00,,active,2026-06-20T15:00:00+09:00,2026-06-20T15:00:01+09:00,2026-06-20T15:00:02+09:00
IDENT-TERM-SYN-002-OLD,STR-SYN-002,TERM-SYN-002-OLD,DEV-TERM-SYN-002-OLD,SER-TERM-SYN-002-OLD,2026-06-01T09:00:00+09:00,,active,2026-06-01T09:30:00+09:00,2026-06-01T09:30:01+09:00,2026-06-01T09:30:02+09:00
IDENT-TERM-SYN-002-NEW,STR-SYN-002,TERM-SYN-002-NEW,DEV-TERM-SYN-002-NEW,SER-TERM-SYN-002-NEW,2026-06-21T14:00:00+09:00,,active,2026-06-21T15:00:00+09:00,2026-06-21T15:00:01+09:00,2026-06-21T15:00:02+09:00
IDENT-TERM-SYN-003-OLD,STR-SYN-003,TERM-SYN-003-OLD,DEV-TERM-SYN-003-OLD,SER-TERM-SYN-003-OLD,2026-06-02T09:00:00+09:00,,active,2026-06-02T09:30:00+09:00,2026-06-02T09:30:01+09:00,2026-06-02T09:30:02+09:00
IDENT-TERM-SYN-003-NEW,STR-SYN-003,TERM-SYN-003-NEW,DEV-TERM-SYN-003-NEW,SER-TERM-SYN-003-NEW,2026-06-22T14:00:00+09:00,,active,2026-06-22T15:00:00+09:00,2026-06-22T15:00:01+09:00,2026-06-22T15:00:02+09:00
IDENT-TERM-SYN-004-OLD,STR-SYN-004,TERM-SYN-004-OLD,DEV-TERM-SYN-004-OLD,SER-TERM-SYN-004-OLD,2026-06-03T09:00:00+09:00,,active,2026-06-03T09:30:00+09:00,2026-06-03T09:30:01+09:00,2026-06-03T09:30:02+09:00
IDENT-TERM-SYN-004-NEW,STR-SYN-004,TERM-SYN-004-NEW,DEV-TERM-SYN-004-NEW,SER-TERM-SYN-004-NEW,2026-06-23T14:00:00+09:00,,active,2026-06-23T15:00:00+09:00,2026-06-23T15:00:01+09:00,2026-06-23T15:00:02+09:00
IDENT-TERM-SYN-005-OLD,STR-SYN-005,TERM-SYN-005-OLD,DEV-TERM-SYN-005-OLD,SER-TERM-SYN-005-OLD,2026-06-04T09:00:00+09:00,,active,2026-06-04T09:30:00+09:00,2026-06-04T09:30:01+09:00,2026-06-04T09:30:02+09:00
IDENT-TERM-SYN-005-NEW,STR-SYN-005,TERM-SYN-005-NEW,DEV-TERM-SYN-005-NEW,SER-TERM-SYN-005-NEW,2026-06-24T14:00:00+09:00,,active,2026-06-24T15:00:00+09:00,2026-06-24T15:00:01+09:00,2026-06-24T15:00:02+09:00
IDENT-TERM-SYN-006-OLD,STR-SYN-006,TERM-SYN-006-OLD,DEV-TERM-SYN-006-OLD,SER-TERM-SYN-006-OLD,2026-06-05T09:00:00+09:00,,active,2026-06-05T09:30:00+09:00,2026-06-05T09:30:01+09:00,2026-06-05T09:30:02+09:00
IDENT-TERM-SYN-006-NEW,STR-SYN-006,TERM-SYN-006-NEW,DEV-TERM-SYN-006-NEW,SER-TERM-SYN-006-NEW,2026-06-25T14:00:00+09:00,,active,2026-06-25T15:00:00+09:00,2026-06-25T15:00:01+09:00,2026-06-25T15:00:02+09:00
IDENT-TERM-SYN-007-OLD,STR-SYN-007,TERM-SYN-007-OLD,DEV-TERM-SYN-007-OLD,SER-TERM-SYN-007-OLD,2026-06-06T09:00:00+09:00,,active,2026-06-06T09:30:00+09:00,2026-06-06T09:30:01+09:00,2026-06-06T09:30:02+09:00
IDENT-TERM-SYN-007-NEW,STR-SYN-007,TERM-SYN-007-NEW,DEV-TERM-SYN-007-NEW,SER-TERM-SYN-007-NEW,2026-06-26T14:00:00+09:00,,active,2026-06-26T15:00:00+09:00,2026-06-26T15:00:01+09:00,2026-06-26T15:00:02+09:00
IDENT-TERM-SYN-008-OLD,STR-SYN-008,TERM-SYN-008-OLD,DEV-TERM-SYN-008-OLD,SER-TERM-SYN-008-OLD,2026-06-07T09:00:00+09:00,,active,2026-06-07T09:30:00+09:00,2026-06-07T09:30:01+09:00,2026-06-07T09:30:02+09:00
IDENT-TERM-SYN-008-NEW,STR-SYN-008,TERM-SYN-008-NEW,DEV-TERM-SYN-008-NEW,SER-TERM-SYN-008-NEW,2026-06-27T14:00:00+09:00,,active,2026-06-27T15:00:00+09:00,2026-06-27T15:00:01+09:00,2026-06-27T15:00:02+09:00
IDENT-TERM-SYN-009-OLD,STR-SYN-009,TERM-SYN-009-OLD,DEV-TERM-SYN-009-OLD,SER-TERM-SYN-009-OLD,2026-06-08T09:00:00+09:00,,active,2026-06-08T09:30:00+09:00,2026-06-08T09:30:01+09:00,2026-06-08T09:30:02+09:00
IDENT-TERM-SYN-009-NEW,STR-SYN-009,TERM-SYN-009-NEW,DEV-TERM-SYN-009-NEW,SER-TERM-SYN-009-NEW,2026-06-28T14:00:00+09:00,,active,2026-06-28T15:00:00+09:00,2026-06-28T15:00:01+09:00,2026-06-28T15:00:02+09:00
IDENT-TERM-SYN-010-OLD,STR-SYN-010,TERM-SYN-010-OLD,DEV-TERM-SYN-010-OLD,SER-TERM-SYN-010-OLD,2026-06-09T09:00:00+09:00,,active,2026-06-09T09:30:00+09:00,2026-06-09T09:30:01+09:00,2026-06-09T09:30:02+09:00
IDENT-TERM-SYN-010-NEW,STR-SYN-010,TERM-SYN-010-NEW,DEV-TERM-SYN-010-NEW,SER-TERM-SYN-010-NEW,2026-06-29T14:00:00+09:00,,active,2026-06-29T15:00:00+09:00,2026-06-29T15:00:01+09:00,2026-06-29T15:00:02+09:00
