terminal_id,store_id,terminal_role,device_number,physical_serial,lifecycle_status,installed_at,activated_at
TERM-SYN-001-OLD,STR-SYN-001,existing,DEV-TERM-SYN-001-OLD,SER-TERM-SYN-001-OLD,activated,2026-05-31T09:00:00+09:00,2026-05-31T09:30:00+09:00
TERM-SYN-001-NEW,STR-SYN-001,newly_installed,DEV-TERM-SYN-001-NEW,SER-TERM-SYN-001-NEW,activated,2026-06-20T14:00:00+09:00,2026-06-20T15:00:00+09:00
TERM-SYN-002-OLD,STR-SYN-002,existing,DEV-TERM-SYN-002-OLD,SER-TERM-SYN-002-OLD,activated,2026-06-01T09:00:00+09:00,2026-06-01T09:30:00+09:00
TERM-SYN-002-NEW,STR-SYN-002,newly_installed,DEV-TERM-SYN-002-NEW,SER-TERM-SYN-002-NEW,activated,2026-06-21T14:00:00+09:00,2026-06-21T15:00:00+09:00
TERM-SYN-003-OLD,STR-SYN-003,existing,DEV-TERM-SYN-003-OLD,SER-TERM-SYN-003-OLD,activated,2026-06-02T09:00:00+09:00,2026-06-02T09:30:00+09:00
TERM-SYN-003-NEW,STR-SYN-003,newly_installed,DEV-TERM-SYN-003-NEW,SER-TERM-SYN-003-NEW,activated,2026-06-22T14:00:00+09:00,2026-06-22T15:00:00+09:00
TERM-SYN-004-OLD,STR-SYN-004,existing,DEV-TERM-SYN-004-OLD,SER-TERM-SYN-004-OLD,activated,2026-06-03T09:00:00+09:00,2026-06-03T09:30:00+09:00
TERM-SYN-004-NEW,STR-SYN-004,newly_installed,DEV-TERM-SYN-004-NEW,SER-TERM-SYN-004-NEW,activated,2026-06-23T14:00:00+09:00,2026-06-23T15:00:00+09:00
TERM-SYN-005-OLD,STR-SYN-005,existing,DEV-TERM-SYN-005-OLD,SER-TERM-SYN-005-OLD,activated,2026-06-04T09:00:00+09:00,2026-06-04T09:30:00+09:00
TERM-SYN-005-NEW,STR-SYN-005,newly_installed,DEV-TERM-SYN-005-NEW,SER-TERM-SYN-005-NEW,activated,2026-06-24T14:00:00+09:00,2026-06-24T15:00:00+09:00
TERM-SYN-006-OLD,STR-SYN-006,existing,DEV-TERM-SYN-006-OLD,SER-TERM-SYN-006-OLD,activated,2026-06-05T09:00:00+09:00,2026-06-05T09:30:00+09:00
TERM-SYN-006-NEW,STR-SYN-006,newly_installed,DEV-TERM-SYN-006-NEW,SER-TERM-SYN-006-NEW,activated,2026-06-25T14:00:00+09:00,2026-06-25T15:00:00+09:00
TERM-SYN-007-OLD,STR-SYN-007,existing,DEV-TERM-SYN-007-OLD,SER-TERM-SYN-007-OLD,activated,2026-06-06T09:00:00+09:00,2026-06-06T09:30:00+09:00
TERM-SYN-007-NEW,STR-SYN-007,newly_installed,DEV-TERM-SYN-007-NEW,SER-TERM-SYN-007-NEW,activated,2026-06-26T14:00:00+09:00,2026-06-26T15:00:00+09:00
TERM-SYN-008-OLD,STR-SYN-008,existing,DEV-TERM-SYN-008-OLD,SER-TERM-SYN-008-OLD,activated,2026-06-07T09:00:00+09:00,2026-06-07T09:30:00+09:00
TERM-SYN-008-NEW,STR-SYN-008,newly_installed,DEV-TERM-SYN-008-NEW,SER-TERM-SYN-008-NEW,activated,2026-06-27T14:00:00+09:00,2026-06-27T15:00:00+09:00
