tid_assignment_id,store_id,terminal_id,tid,valid_from,valid_to,assignment_status,observed_at,recorded_at,available_at
TIDA-SYN-001-OLD,STR-SYN-001,TERM-SYN-001-OLD,TID-101001,2026-05-31T09:30:00+09:00,,active,2026-05-31T09:30:00+09:00,2026-05-31T09:30:01+09:00,2026-05-31T09:30:02+09:00
TIDA-SYN-001-NEW,STR-SYN-001,TERM-SYN-001-NEW,TID-101001,2026-06-20T15:00:00+09:00,,active,2026-06-20T15:00:00+09:00,2026-06-20T15:00:01+09:00,2026-06-20T15:00:02+09:00
TIDA-SYN-002-OLD,STR-SYN-002,TERM-SYN-002-OLD,TID-101002,2026-06-01T09:30:00+09:00,,active,2026-06-01T09:30:00+09:00,2026-06-01T09:30:01+09:00,2026-06-01T09:30:02+09:00
TIDA-SYN-002-NEW,STR-SYN-002,TERM-SYN-002-NEW,TID-101002,2026-06-21T15:00:00+09:00,,active,2026-06-21T15:00:00+09:00,2026-06-21T15:00:01+09:00,2026-06-21T15:00:02+09:00
TIDA-SYN-003-OLD,STR-SYN-003,TERM-SYN-003-OLD,TID-101003,2026-06-02T09:30:00+09:00,,active,2026-06-02T09:30:00+09:00,2026-06-02T09:30:01+09:00,2026-06-02T09:30:02+09:00
TIDA-SYN-003-NEW,STR-SYN-003,TERM-SYN-003-NEW,TID-101003,2026-06-22T15:00:00+09:00,,active,2026-06-22T15:00:00+09:00,2026-06-22T15:00:01+09:00,2026-06-22T15:00:02+09:00
TIDA-SYN-004-OLD,STR-SYN-004,TERM-SYN-004-OLD,TID-101004,2026-06-03T09:30:00+09:00,,active,2026-06-03T09:30:00+09:00,2026-06-03T09:30:01+09:00,2026-06-03T09:30:02+09:00
TIDA-SYN-004-NEW,STR-SYN-004,TERM-SYN-004-NEW,TID-101004,2026-06-23T15:00:00+09:00,,active,2026-06-23T15:00:00+09:00,2026-06-23T15:00:01+09:00,2026-06-23T15:00:02+09:00
TIDA-SYN-005-OLD,STR-SYN-005,TERM-SYN-005-OLD,TID-101005,2026-06-04T09:30:00+09:00,,active,2026-06-04T09:30:00+09:00,2026-06-04T09:30:01+09:00,2026-06-04T09:30:02+09:00
TIDA-SYN-005-NEW,STR-SYN-005,TERM-SYN-005-NEW,TID-101005,2026-06-24T15:00:00+09:00,,active,2026-06-24T15:00:00+09:00,2026-06-24T15:00:01+09:00,2026-06-24T15:00:02+09:00
