van_registration_id,store_id,merchant_number,registration_status,valid_from,valid_to,observed_at,recorded_at,available_at
VAN-SYN-018,STR-SYN-018,,pending,2026-06-20T12:00:00+09:00,,2026-06-20T12:00:00+09:00,2026-06-20T12:00:01+09:00,2026-06-20T12:00:02+09:00
VAN-SYN-019,STR-SYN-019,,pending,2026-06-21T12:00:00+09:00,,2026-06-21T12:00:00+09:00,2026-06-21T12:00:01+09:00,2026-06-21T12:00:02+09:00
VAN-SYN-020,STR-SYN-020,,pending,2026-06-22T12:00:00+09:00,,2026-06-22T12:00:00+09:00,2026-06-22T12:00:01+09:00,2026-06-22T12:00:02+09:00
VAN-SYN-021,STR-SYN-021,,pending,2026-06-23T12:00:00+09:00,,2026-06-23T12:00:00+09:00,2026-06-23T12:00:01+09:00,2026-06-23T12:00:02+09:00
VAN-SYN-022,STR-SYN-022,,pending,2026-06-24T12:00:00+09:00,,2026-06-24T12:00:00+09:00,2026-06-24T12:00:01+09:00,2026-06-24T12:00:02+09:00
VAN-SYN-023,STR-SYN-023,,pending,2026-06-25T12:00:00+09:00,,2026-06-25T12:00:00+09:00,2026-06-25T12:00:01+09:00,2026-06-25T12:00:02+09:00
VAN-SYN-024,STR-SYN-024,,pending,2026-06-26T12:00:00+09:00,,2026-06-26T12:00:00+09:00,2026-06-26T12:00:01+09:00,2026-06-26T12:00:02+09:00
VAN-SYN-025,STR-SYN-025,MERCHANT-SYN-025,active,2026-06-10T12:00:00+09:00,,2026-06-10T12:00:00+09:00,2026-06-10T12:00:01+09:00,2026-06-10T12:00:02+09:00
VAN-SYN-026,STR-SYN-026,MERCHANT-SYN-026,active,2026-06-11T12:00:00+09:00,,2026-06-11T12:00:00+09:00,2026-06-11T12:00:01+09:00,2026-06-11T12:00:02+09:00
VAN-SYN-027,STR-SYN-027,MERCHANT-SYN-027,active,2026-06-12T12:00:00+09:00,,2026-06-12T12:00:00+09:00,2026-06-12T12:00:01+09:00,2026-06-12T12:00:02+09:00
VAN-SYN-028,STR-SYN-028,MERCHANT-SYN-028,active,2026-06-13T12:00:00+09:00,,2026-06-13T12:00:00+09:00,2026-06-13T12:00:01+09:00,2026-06-13T12:00:02+09:00
VAN-SYN-029,STR-SYN-029,MERCHANT-SYN-029,active,2026-06-14T12:00:00+09:00,,2026-06-14T12:00:00+09:00,2026-06-14T12:00:01+09:00,2026-06-14T12:00:02+09:00
VAN-SYN-030,STR-SYN-030,MERCHANT-SYN-030,active,2026-06-15T12:00:00+09:00,,2026-06-15T12:00:00+09:00,2026-06-15T12:00:01+09:00,2026-06-15T12:00:02+09:00
VAN-SYN-031,STR-SYN-031,MERCHANT-SYN-031,active,2026-06-16T12:00:00+09:00,,2026-06-16T12:00:00+09:00,2026-06-16T12:00:01+09:00,2026-06-16T12:00:02+09:00
