term,coef,std_error,t_value,p_value,ci_low,ci_high,nobs,r2,outcome,lag_length,spec,spec_type,interpretation_note,naive_std_error,standard_error_note,n_lags
const,0.36916371406436804,0.0596911400672758,6.184564638040026,6.227409308092503e-10,0.2521712293363717,0.4861561987923644,120.0,0.4134223012067024,gap_equal_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag0,-0.3372084157267785,0.11091965117561825,-3.040114282300428,0.00236488394240378,-0.5546069372087361,-0.11980989424482089,120.0,0.4134223012067024,gap_equal_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag1,-0.048490066097957,0.0744942925559795,-0.6509232376630552,0.515096040106782,-0.19449619656146708,0.09751606436555307,120.0,0.4134223012067024,gap_equal_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag2,-0.05335417235521858,0.0719584183430294,-0.7414583808787535,0.4584155577113399,-0.1943900806920226,0.08768173598158543,120.0,0.4134223012067024,gap_equal_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag3,-0.1779386937064572,0.09100086938530721,-1.9553515796980592,0.050541587054951743,-0.3562971202634929,0.00041973285057853027,120.0,0.4134223012067024,gap_equal_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_2,-0.04184372537150893,0.05854818011808683,-0.7146887450150219,0.4748013939031741,-0.15659604976332317,0.0729085990203053,120.0,0.4134223012067024,gap_equal_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_3,-0.07688614533696798,0.08490621153750393,-0.9055420556952609,0.3651782903510855,-0.24329926201421487,0.08952697134027891,120.0,0.4134223012067024,gap_equal_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_4,-0.25799421844346215,0.1358193018680672,-1.8995401603085385,0.05749349151139508,-0.5241951585102476,0.008206721623323254,120.0,0.4134223012067024,gap_equal_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_5,-0.3645623216090809,0.120606189774935,-3.0227496805047576,0.0025048934931316364,-0.6009461098805564,-0.1281785333376054,120.0,0.4134223012067024,gap_equal_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_6,-0.3805307628534561,0.09564469298939496,-3.978587321051354,6.932595026848412e-05,-0.5679909164250608,-0.19307060928185138,120.0,0.4134223012067024,gap_equal_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_7,-0.2982498509644568,0.09739729308150445,-3.0621985635152504,0.0021971764880438145,-0.48914503759589767,-0.10735466433301588,120.0,0.4134223012067024,gap_equal_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
