term,coef,std_error,t_value,p_value,ci_low,ci_high,nobs,r2,outcome,lag_length,spec,spec_type,interpretation_note,naive_std_error,standard_error_note,n_lags
const,0.38940456512678706,0.06593394259260738,5.905980285948314,3.505558958037411e-09,0.2601764122865451,0.518632717967029,120.0,0.4143898215318159,gap_synth_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag0,-0.35075223669098265,0.11745753711773797,-2.9862045918721503,0.002824635967498184,-0.5809647791545256,-0.12053969422743965,120.0,0.4143898215318159,gap_synth_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag1,-0.05293955824140668,0.07945378998985815,-0.6662936814991975,0.5052234034537482,-0.2086661250567377,0.10278700857392437,120.0,0.4143898215318159,gap_synth_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag2,-0.04867859230076685,0.0775685534947585,-0.6275557569093535,0.5302949995780575,-0.20071016348336204,0.10335297888182834,120.0,0.4143898215318159,gap_synth_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag3,-0.18494550135820012,0.09874806044689997,-1.8729026223016432,0.06108183302147643,-0.3784881433773083,0.008597140660908054,120.0,0.4143898215318159,gap_synth_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_2,-0.04781820103713483,0.06275668123878518,-0.7619619153407685,0.4460827347755649,-0.17081903605441429,0.07518263398014463,120.0,0.4143898215318159,gap_synth_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_3,-0.07937928569545423,0.09191942033369652,-0.8635746984400289,0.38782156825497616,-0.2595380390292981,0.10077946763838967,120.0,0.4143898215318159,gap_synth_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_4,-0.2794103886425506,0.14368033420708662,-1.9446668897626316,0.05181508301125342,-0.5610186689751187,0.0021978916900175505,120.0,0.4143898215318159,gap_synth_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_5,-0.40630880446118434,0.12862448041630228,-3.158876157525667,0.0015837877587172287,-0.6584081536073143,-0.15420945531505437,120.0,0.4143898215318159,gap_synth_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_6,-0.41994465257546465,0.10469256670775655,-4.011217470173567,6.040643544303875e-05,-0.6251383127717246,-0.21475099237920472,120.0,0.4143898215318159,gap_synth_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_7,-0.3361654819689481,0.1040278037579361,-3.2314964829131325,0.001231438393976899,-0.5400562307253034,-0.1322747332125928,120.0,0.4143898215318159,gap_synth_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_8,-0.3461265707060223,0.10237218595592962,-3.3810606609008715,0.0007220660027185016,-0.5467723681982815,-0.14548077321376315,120.0,0.4143898215318159,gap_synth_main,3,A_policy_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
