period,date,afs_spi,financial_insurance_spi,real_estate_spi,professional_scientific_technical_spi,administrative_support_spi,foreign_tourists_thousand,accommodation_occupancy_rate_total,average_room_rental_rate_total,share_foreign_tourists_total_guests_total,food_non_alcoholic_cpi_index,food_non_alcoholic_cpi_yoy,core_cpi_index,core_cpi_yoy,policy_intensity_m,delivery_intensity_m,active_events,equal_low_spi,synthetic_low_spi,log_afs_spi,log_equal_low_spi,log_synthetic_low_spi,log_afs_minus_equal_low,log_afs_minus_synthetic_low,estimand,restaurant_hotel_gap_design_dropped
2016-01,2016-01-01,95.18,83.22,80.29,82.45,95.93,2996.44,74.51,1432.8,39.02,86.39,86.39,93.74,93.74,0.0,0.0,,81.98666666666666,82.12627547890975,4.555769835692964,4.40655663241716,4.408258007629799,0.14921320327580467,0.14751182806316532,accommodation-and-food-service relative response,True
2016-02,2016-02-01,90.83,82.99,80.42,76.9,98.14,3080.54,73.12,1343.8,38.38,86.72,86.72,93.9,93.9,0.0,0.0,,80.10333333333334,80.67953661547693,4.508989627514122,4.383317467856805,4.390484969582618,0.12567215965731737,0.11850465793150455,accommodation-and-food-service relative response,True
2016-03,2016-03-01,97.2,87.85,80.57,87.45,113.06,2927.23,70.59,1311.0,39.13,86.45,86.45,93.91,93.91,0.0,0.0,,85.29,85.51007285826869,4.576770711466393,4.446057214331018,4.44863418021134,0.13071349713537472,0.12813653125505287,accommodation-and-food-service relative response,True
2016-04,2016-04-01,88.85,83.54,80.64,84.85,96.07,2627.81,71.43,1309.0,37.22,87.52,87.52,94.04,94.04,0.0,0.0,,83.01,82.97453464489467,4.486949554600661,4.418961082466944,4.418533749213025,0.06798847213371673,0.06841580538763559,accommodation-and-food-service relative response,True
2016-05,2016-05-01,84.25,88.73,80.27,81.68,101.58,2459.09,64.97,1468.5,35.76,88.86,88.86,94.09,94.09,0.0,0.0,,83.56,84.36758527504495,4.433788569232471,4.425564936688365,4.435183267109487,0.008223632544106074,-0.0013946978770160712,accommodation-and-food-service relative response,True
2016-06,2016-06-01,80.01,93.23,79.43,83.85,105.05,2423.0,62.63,1519.4,36.17,88.81,88.81,94.17,94.17,0.0,0.0,,85.50333333333333,86.64301358229459,4.382151626862033,4.448555361537542,4.461796384893629,-0.06640373467550909,-0.07964475803159576,accommodation-and-food-service relative response,True
2016-07,2016-07-01,84.93,91.83,78.13,82.32,99.08,2949.1,62.74,1509.0,38.73,88.33,88.33,94.22,94.22,0.0,0.0,,84.09333333333332,85.2413451346663,4.441827387791918,4.431927293127341,4.445486587662759,0.009900094664576642,-0.003659199870841512,accommodation-and-food-service relative response,True
2016-08,2016-08-01,86.56,96.17,78.83,79.95,105.69,2883.59,62.54,1453.7,38.2,88.45,88.45,94.28,94.28,0.0,0.0,,84.98333333333333,86.78692396645283,4.460837815098172,4.442455158833055,4.463455964770346,0.018382656265116815,-0.0026181496721742192,accommodation-and-food-service relative response,True
2016-09,2016-09-01,81.04,92.06,81.51,86.62,102.58,2416.82,60.43,1514.2,35.93,88.2,88.2,94.3,94.3,0.0,0.0,,86.73,87.45622317912942,4.394942859940428,4.462799844696365,4.4711383616442655,-0.06785698475593716,-0.07619550170383782,accommodation-and-food-service relative response,True
2016-10,2016-10-01,81.7,83.78,86.15,90.92,100.51,2252.78,60.89,1586.25,28.66,88.1,88.1,94.33,94.33,0.0,0.0,,86.95,86.29093107884333,4.403054001865957,4.465333240800292,4.457724506574917,-0.062279238934334735,-0.05467050470895973,accommodation-and-food-service relative response,True
