term,coef,std_error,t_value,p_value,ci_low,ci_high,nobs,r2,centered,only_2025,comparator_set,interpretation_note
const,4.507170462039269,0.21497985854812648,20.96554762143111,1.3535440809508567e-97,4.085817681883427,4.928523242195112,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
high_event_-3,0.03188553218437651,0.2345484722594421,0.13594431836293025,0.8918652996781742,-0.4278210260730219,0.49159209044177493,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
high_event_-2,-0.04888550027821781,0.304604458699901,-0.1604884593182539,0.8724963119251418,-0.6458992688603421,0.5481282683039065,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
high_event_0,0.134687736734993,0.3037165062930799,0.4434653169789272,0.6574292004672153,-0.46058567710977627,0.7299611505797623,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
high_event_1,0.10708925712779105,0.32642922469903096,0.3280627132160969,0.7428642457298763,-0.5327002667836424,0.7468787810392244,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
high_event_2,0.08453762348419458,0.39315876584181925,0.21502159134919774,0.8297504847968015,-0.6860393977719875,0.8551146447403767,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
high_event_3,0.1021372342395106,0.33735464761078526,0.30275923264394733,0.7620733537232633,-0.5590657250948299,0.7633401935738511,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
sector_Financial and insurance activities,0.043733437396029085,0.20856169243387945,0.2096906526105888,0.833909121485912,-0.3650399683290945,0.4525068431211527,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
"sector_Professional, scientific and technical activities",0.10002821058589934,0.2047073403364273,0.48864007720244657,0.625096534251801,-0.3011908038444816,0.5012472250162803,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
sector_Real estate activities,0.05171038807145423,0.20572903078154842,0.2513519257589001,0.8015420324367858,-0.3515111028347128,0.4549318789776213,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2021-01,-0.09731538067424772,0.1603072203336397,-0.607055505495697,0.5438140771088289,-0.41151175898990855,0.2168809976414131,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2021-02,-0.10054464113417771,0.13743099503965547,-0.7316009107346253,0.46441219220061736,-0.36990444177140525,0.16881515950304982,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2021-03,-0.048984119415921,0.1496759369929184,-0.3272678320913974,0.7434653202576931,-0.3423435652743274,0.24437532644248539,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2021-04,-0.15285893648245052,0.17693590535632017,-0.8639226513952465,0.3876303825861742,-0.4996469385528257,0.19392906558792466,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2021-05,-0.24961804518803038,0.2490912005850919,-1.0021150670987211,0.3162880216837124,-0.7378278272006529,0.23859173682459217,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2021-06,-0.169082657263862,0.2266268772564969,-0.7460838683864218,0.455616753443979,-0.6132631746153754,0.2750978600876514,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2022-01,0.00047706673066061356,0.08760124131813589,0.005445890075097001,0.9956548298672334,-0.1712182112538878,0.17217234471520904,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2022-02,-0.04884581434946572,0.10176926151590397,-0.47996628472962194,0.6312513669770828,-0.24830990165387565,0.1506182729549442,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2022-03,0.025649488795604747,0.0895145912128434,0.28653975232503326,0.7744647512580496,-0.1497958860723939,0.2010948636636034,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2022-04,-0.05935860135584206,0.09479943111753984,-0.6261493413630781,0.5312169911836615,-0.24516207210110583,0.1264448693894217,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2022-05,-0.009990039111875793,0.1068148829283319,-0.09352665881381596,0.9254851718401345,-0.21934336266426857,0.19936328444051699,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2022-06,0.01866590594678247,0.11862752155191143,0.15734886561390615,0.8749699106759613,-0.213839763870213,0.2511715757637779,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2022-07,0.00720198912364043,0.0803918537341575,0.0895860561625586,0.9286161654181689,-0.15036314884572013,0.16476712709300098,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2022-08,0.08526980785181193,0.09814693298793796,0.8687974779842729,0.38495791281742553,-0.10709464599761262,0.2776342617012365,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2022-09,0.05413313831075883,0.08773318703690829,0.6170200825827252,0.5372214795198071,-0.11782074853049776,0.22608702515201543,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2022-10,0.02413411301358106,0.09475323511838679,0.25470489723572354,0.7989510335262895,-0.1615788152371129,0.20984704126427503,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2022-11,0.05192458877715522,0.10324658744955897,0.5029182083381006,0.6150217787757086,-0.1504350041506455,0.2542841817049559,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2022-12,0.20078631536790575,0.17166006308551698,1.169674015952556,0.24213217867004666,-0.13566122586358115,0.5372338565993926,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2023-01,0.07036796704202207,0.123222004204055,0.5710665679929461,0.5679545198017297,-0.17114272330076885,0.311878657384813,112,0.4284312851360381,end,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
