term,coef,std_error,t_value,p_value,ci_low,ci_high,nobs,r2,centered,only_2025,comparator_set,interpretation_note
const,4.324086707945422,0.23319472342445566,18.54281539670526,9.321182252617703e-77,3.86703344864871,4.781139967242134,112,0.4478817529840917,start,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
high_event_-3,0.026421515852495636,0.29694266544812337,0.0889785097490867,0.929098989101501,-0.5555754138991524,0.6084184456041437,112,0.4478817529840917,start,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
high_event_-2,0.023755261190062882,0.34552349262093995,0.0687515080664105,0.9451874176565113,-0.6534583401594706,0.7009688625395963,112,0.4478817529840917,start,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
high_event_0,-0.0260211714991192,0.3589365286930552,-0.0724951890348592,0.942207833991023,-0.7295238404733351,0.6774814974750967,112,0.4478817529840917,start,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
high_event_1,0.03364809549657832,0.37164220177277046,0.09053895207829882,0.9278589417603142,-0.6947572351132196,0.7620534261063763,112,0.4478817529840917,start,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
high_event_2,0.1796274344446136,0.34087207614704423,0.5269643570543646,0.5982183404385562,-0.48846955813898796,0.8477244270282152,112,0.4478817529840917,start,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
high_event_3,0.23173798413847901,0.39364245353994504,0.5887017064712085,0.5560613929668813,-0.5397870475857948,1.003263015862753,112,0.4478817529840917,start,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
sector_Financial and insurance activities,0.1765971185211459,0.21943282929283256,0.804788960203751,0.4209414733870568,-0.2534833239185317,0.6066775609608235,112,0.4478817529840917,start,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
"sector_Professional, scientific and technical activities",0.1861085980202657,0.21545933239487977,0.8637759894251321,0.3877109602299659,-0.23618393360674284,0.6084011296472742,112,0.4478817529840917,start,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
sector_Real estate activities,0.17950317249054848,0.21703348310034912,0.8270759420450905,0.4081940191863954,-0.24587463782541824,0.6048809828065151,112,0.4478817529840917,start,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2020-08,-0.012667163146809005,0.14104967572216592,-0.08980639680278515,0.928441064820539,-0.2891194475933078,0.26378512129968984,112,0.4478817529840917,start,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2020-09,0.023126955053597797,0.11830217880652386,0.19549052508509204,0.8450089544762518,-0.20874105469980664,0.25499496480700223,112,0.4478817529840917,start,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2020-10,0.01924250431631999,0.12587849376090776,0.15286570200680186,0.8785041837972987,-0.22747480988320912,0.2659598185158491,112,0.4478817529840917,start,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2020-11,0.024042373202429523,0.13725836049391024,0.17516144820552634,0.8609527758322709,-0.24497906994264995,0.293063816347509,112,0.4478817529840917,start,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2020-12,0.05946406528414949,0.12967743082046385,0.4585536967221109,0.6465546939569944,-0.19469902873164402,0.313627159299943,112,0.4478817529840917,start,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2021-01,-0.07107171092920672,0.2157770740448331,-0.3293756356824071,0.7418717812164035,-0.4939870047465121,0.35184358288809864,112,0.4478817529840917,start,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2021-04,-0.036292460314414896,0.1430181398715398,-0.2537612385884274,0.7996800205156087,-0.31660286359854484,0.24401794296971502,112,0.4478817529840917,start,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2021-05,-0.1380229137652884,0.2068669634667602,-0.6672061669598888,0.5046404525036459,-0.5434747117513015,0.2674288842207247,112,0.4478817529840917,start,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2021-06,-0.047148807854771546,0.17611421216934992,-0.26771722323825664,0.7889169913738628,-0.3923263208723431,0.2980287051628,112,0.4478817529840917,start,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
month_2021-07,-0.09289891529765115,0.21533738055476795,-0.43141100285662504,0.6661695509851672,-0.5149524257101921,0.3291545951148898,112,0.4478817529840917,start,False,main_low_exposure,Relative response of AFS against low-exposure sectors; national policy time effects are absorbed.
