TransactionId,CustomerId,BatchId,SubscriptionId,CurrencyCode,CountryCode,ProviderId,ProductId,ProductCategory,ChannelId,current_amount,current_value,IssuedDateLoan,IsDefaulted,LoanId,LoanApplicationId,PayBackId,InvestorId,prior_txn_count_all,prior_txn_active_days_all,prior_txn_recency_days_all,prior_txn_amount_mean_all,prior_txn_amount_std_all,prior_provider_nunique_all,prior_product_category_nunique_all,has_prior_txn,prior_txn_segment,prior_repayment_count,prior_default_count,prior_default_rate,repayment_history_segment,issue_month,issue_weekday,current_value_log
TransactionId_1,CustomerId_27,BatchId_2269,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,-2000.0,2000.0,2018-11-27 18:14:22,0,LoanId_562,LoanApplicationId_91,PayBackId_1623,InvestorId_2,12.0,9.0,34.0,762.5,307.77426793024785,1.0,2.0,1,high_txn_history,4.0,0.0,0.0,has_prior_repayment_history,11,Tuesday,7.601402334583733
TransactionId_1000,CustomerId_398,BatchId_2532,SubscriptionId_7,UGX,256,ProviderId_1,ProductId_4,data_bundles,ChannelId_1,-7000.0,7000.0,2019-03-21 07:36:16,0,LoanId_871,LoanApplicationId_802,PayBackId_2042,InvestorId_1,94.0,51.0,0.0,5546.808510638298,8283.442509754017,4.0,5.0,1,high_txn_history,19.0,0.0,0.0,has_prior_repayment_history,3,Thursday,8.853808274977197
TransactionId_1001,CustomerId_326,BatchId_2410,SubscriptionId_7,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,-2000.0,2000.0,2019-01-19 13:54:22,0,LoanId_1093,LoanApplicationId_137,PayBackId_981,InvestorId_1,6.0,2.0,4.0,7361.666666666667,7317.377717916896,2.0,2.0,1,medium_txn_history,11.0,0.0,0.0,has_prior_repayment_history,1,Saturday,7.601402334583733
TransactionId_1005,CustomerId_502,BatchId_575,SubscriptionId_5,UGX,256,ProviderId_1,ProductId_3,airtime,ChannelId_1,-2000.0,2000.0,2019-03-28 11:37:16,0,LoanId_596,LoanApplicationId_472,PayBackId_65,InvestorId_2,2.0,1.0,1.0,50500.0,70003.57133746821,2.0,2.0,1,low_txn_history,3.0,0.0,0.0,has_prior_repayment_history,3,Thursday,7.601402334583733
TransactionId_1007,CustomerId_390,BatchId_2405,SubscriptionId_7,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,-1000.0,1000.0,2019-01-30 10:40:38,0,LoanId_325,LoanApplicationId_871,PayBackId_1819,InvestorId_1,10.0,7.0,5.0,5402.0,4172.686930770415,3.0,3.0,1,medium_txn_history,54.0,0.0,0.0,has_prior_repayment_history,1,Wednesday,6.90875477931522
TransactionId_1008,CustomerId_346,BatchId_1875,SubscriptionId_7,UGX,256,ProviderId_1,ProductId_8,data_bundles,ChannelId_1,-1500.0,1500.0,2019-03-29 13:55:12,0,LoanId_1192,LoanApplicationId_203,PayBackId_425,InvestorId_1,5.0,4.0,9.0,1820.0,2405.6184236075346,2.0,3.0,1,medium_txn_history,1.0,0.0,0.0,has_prior_repayment_history,3,Friday,7.313886831633462
TransactionId_1010,CustomerId_180,BatchId_614,SubscriptionId_7,UGX,256,ProviderId_1,ProductId_3,airtime,ChannelId_1,-4000.0,4000.0,2019-03-29 06:15:14,0,LoanId_247,LoanApplicationId_747,PayBackId_246,InvestorId_1,71.0,42.0,1.0,6323.943661971831,7185.112878897239,2.0,4.0,1,high_txn_history,17.0,0.0,0.0,has_prior_repayment_history,3,Friday,8.294299608857235
TransactionId_1012,CustomerId_315,BatchId_2511,SubscriptionId_7,UGX,256,ProviderId_1,ProductId_3,airtime,ChannelId_1,-1000.0,1000.0,2019-02-14 06:35:46,0,LoanId_735,LoanApplicationId_1002,PayBackId_1776,InvestorId_1,44.0,20.0,1.0,2477.2727272727275,2549.406099226599,3.0,3.0,1,high_txn_history,13.0,0.0,0.0,has_prior_repayment_history,2,Thursday,6.90875477931522
TransactionId_1013,CustomerId_298,BatchId_1973,SubscriptionId_7,UGX,256,ProviderId_1,ProductId_3,airtime,ChannelId_1,-1000.0,1000.0,2018-12-09 18:01:27,0,LoanId_1568,LoanApplicationId_555,PayBackId_389,InvestorId_1,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0,no_prior_txn,0.0,0.0,0.0,cold_start_no_known_repayment,12,Sunday,6.90875477931522
TransactionId_1014,CustomerId_298,BatchId_2530,SubscriptionId_7,UGX,256,ProviderId_1,ProductId_3,airtime,ChannelId_1,-1500.0,1500.0,2018-12-21 05:40:42,1,LoanId_419,LoanApplicationId_1589,PayBackId_1231,InvestorId_1,8.0,4.0,2.0,1250.0,462.9100498862757,1.0,1.0,1,medium_txn_history,1.0,0.0,0.0,has_prior_repayment_history,12,Friday,7.313886831633462
TransactionId_1015,CustomerId_253,BatchId_786,SubscriptionId_7,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,-2000.0,2000.0,2018-12-20 09:47:40,0,LoanId_1456,LoanApplicationId_1181,PayBackId_1811,InvestorId_1,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0,no_prior_txn,1.0,0.0,0.0,has_prior_repayment_history,12,Thursday,7.601402334583733
